@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51797, 12.74, 3.48, 1.35, 72.96, 0.64, 8.68, 0.00, 0.00, 1
1.52213, 14.21, 3.82, 0.47, 71.77, 0.11, 9.57, 0.00, 0.00, 1
1.51755, 12.71, 3.42, 1.20, 73.20, 0.59, 8.64, 0.00, 0.00, 1
1.52210, 13.73, 3.84, 0.72, 71.76, 0.17, 9.74, 0.00, 0.00, 1
1.51786, 12.73, 3.43, 1.19, 72.95, 0.62, 8.76, 0.00, 0.30, 1
1.52223, 13.21, 3.77, 0.79, 71.99, 0.13, 10.02, 0.00, 0.00, 1
1.51926, 13.20, 3.33, 1.28, 72.36, 0.60, 9.14, 0.00, 0.11, 1
1.51808, 13.43, 2.87, 1.19, 72.84, 0.55, 9.03, 0.00, 0.00, 1
1.51215, 12.99, 3.47, 1.12, 72.98, 0.62, 8.35, 0.00, 0.31, 1
1.51754, 13.48, 3.74, 1.17, 72.99, 0.59, 8.03, 0.00, 0.00, 1
1.51754, 13.39, 3.66, 1.19, 72.79, 0.57, 8.27, 0.00, 0.11, 1
1.52172, 13.51, 3.86, 0.88, 71.79, 0.23, 9.54, 0.00, 0.11, 1
1.52172, 13.48, 3.74, 0.90, 72.01, 0.18, 9.61, 0.00, 0.07, 1
1.52152, 13.05, 3.65, 0.87, 72.32, 0.19, 9.85, 0.00, 0.17, 1
1.52300, 13.31, 3.58, 0.82, 71.99, 0.12, 10.17, 0.00, 0.03, 1
1.51848, 13.64, 3.87, 1.27, 71.96, 0.54, 8.32, 0.00, 0.32, 2
1.51593, 13.09, 3.59, 1.52, 73.10, 0.67, 7.83, 0.00, 0.00, 2
1.51596, 13.02, 3.56, 1.54, 73.11, 0.72, 7.90, 0.00, 0.00, 2
1.51645, 13.44, 3.61, 1.54, 72.39, 0.66, 8.03, 0.00, 0.00, 2
1.51590, 12.82, 3.52, 1.90, 72.86, 0.69, 7.97, 0.00, 0.00, 2
1.51592, 12.86, 3.52, 2.12, 72.66, 0.69, 7.97, 0.00, 0.00, 2
1.51409, 14.25, 3.09, 2.08, 72.28, 1.10, 7.08, 0.00, 0.00, 2
1.51569, 13.24, 3.49, 1.47, 73.25, 0.38, 8.03, 0.00, 0.00, 2
1.51645, 13.40, 3.49, 1.52, 72.65, 0.67, 8.08, 0.00, 0.10, 2
1.51841, 12.93, 3.74, 1.11, 72.28, 0.64, 8.96, 0.00, 0.22, 2
1.51590, 13.24, 3.34, 1.47, 73.10, 0.39, 8.22, 0.00, 0.00, 2
1.51629, 12.71, 3.33, 1.49, 73.28, 0.67, 8.24, 0.00, 0.00, 2
1.51841, 13.02, 3.62, 1.06, 72.34, 0.64, 9.13, 0.00, 0.15, 2
1.51655, 12.75, 2.85, 1.44, 73.27, 0.57, 8.79, 0.11, 0.22, 2
1.51730, 12.35, 2.72, 1.63, 72.87, 0.70, 9.23, 0.00, 0.00, 2
1.52725, 13.80, 3.15, 0.66, 70.57, 0.08, 11.64, 0.00, 0.00, 2
1.52410, 13.83, 2.90, 1.17, 71.15, 0.08, 10.79, 0.00, 0.00, 2
1.52475, 11.45, 0.00, 1.88, 72.19, 0.81, 13.24, 0.00, 0.34, 2
1.53125, 10.73, 0.00, 2.10, 69.81, 0.58, 13.30, 3.15, 0.28, 2
1.53393, 12.30, 0.00, 1.00, 70.16, 0.12, 16.19, 0.00, 0.24, 2
1.51818, 13.72, 0.00, 0.56, 74.45, 0.00, 10.99, 0.00, 0.00, 2
1.52739, 11.02, 0.00, 0.75, 73.08, 0.00, 14.96, 0.00, 0.00, 2
1.51847, 13.10, 3.97, 1.19, 72.44, 0.60, 8.43, 0.00, 0.00, 2
1.51708, 13.72, 3.68, 1.81, 72.06, 0.64, 7.88, 0.00, 0.00, 2
1.51673, 13.30, 3.64, 1.53, 72.53, 0.65, 8.03, 0.00, 0.29, 2
1.51652, 13.56, 3.57, 1.47, 72.45, 0.64, 7.96, 0.00, 0.00, 2
1.51872, 12.93, 3.66, 1.56, 72.51, 0.58, 8.55, 0.00, 0.12, 2
1.52177, 13.75, 1.01, 1.36, 72.19, 0.33, 11.14, 0.00, 0.00, 2
1.52614, 13.70, 0.00, 1.36, 71.24, 0.19, 13.44, 0.00, 0.10, 2
1.51811, 13.33, 3.85, 1.25, 72.78, 0.52, 8.12, 0.00, 0.00, 2
1.51674, 12.79, 3.52, 1.54, 73.36, 0.66, 7.90, 0.00, 0.00, 2
1.51674, 12.87, 3.56, 1.64, 73.14, 0.65, 7.99, 0.00, 0.00, 2
1.51690, 13.33, 3.54, 1.61, 72.54, 0.68, 8.11, 0.00, 0.00, 2
1.51851, 13.20, 3.63, 1.07, 72.83, 0.57, 8.41, 0.09, 0.17, 2
1.51662, 12.85, 3.51, 1.44, 73.01, 0.68, 8.23, 0.06, 0.25, 2
1.51709, 13.00, 3.47, 1.79, 72.72, 0.66, 8.18, 0.00, 0.00, 2
1.51660, 12.99, 3.18, 1.23, 72.97, 0.58, 8.81, 0.00, 0.24, 2
1.51839, 12.85, 3.67, 1.24, 72.57, 0.62, 8.68, 0.00, 0.35, 2
1.51610, 13.33, 3.53, 1.34, 72.67, 0.56, 8.33, 0.00, 0.00, 3
1.52127, 14.32, 3.90, 0.83, 71.50, 0.00, 9.49, 0.00, 0.00, 3
1.51610, 13.42, 3.40, 1.22, 72.69, 0.59, 8.32, 0.00, 0.00, 3
1.51646, 13.04, 3.40, 1.26, 73.01, 0.52, 8.58, 0.00, 0.00, 3
1.52121, 14.03, 3.76, 0.58, 71.79, 0.11, 9.65, 0.00, 0.00, 3
1.51796, 13.50, 3.36, 1.63, 71.94, 0.57, 8.81, 0.00, 0.09, 3
1.51934, 13.64, 3.54, 0.75, 72.65, 0.16, 8.89, 0.15, 0.24, 3
1.52211, 14.19, 3.78, 0.91, 71.36, 0.23, 9.14, 0.00, 0.37, 3
1.51514, 14.01, 2.68, 3.50, 69.89, 1.68, 5.87, 2.20, 0.00, 5
1.52171, 11.56, 1.88, 1.56, 72.86, 0.47, 11.41, 0.00, 0.00, 5
1.51666, 12.86, 0.00, 1.83, 73.88, 0.97, 10.17, 0.00, 0.00, 5
1.51321, 13.00, 0.00, 3.02, 70.70, 6.21, 6.93, 0.00, 0.00, 5
1.52043, 13.38, 0.00, 1.40, 72.25, 0.33, 12.50, 0.00, 0.00, 5
1.52058, 12.85, 1.61, 2.17, 72.18, 0.76, 9.70, 0.24, 0.51, 5
1.52119, 12.97, 0.33, 1.51, 73.39, 0.13, 11.27, 0.00, 0.28, 5
1.51905, 14.00, 2.39, 1.56, 72.37, 0.00, 9.57, 0.00, 0.00, 6
1.51937, 13.79, 2.41, 1.19, 72.76, 0.00, 9.77, 0.00, 0.00, 6
1.51829, 14.46, 2.24, 1.62, 72.38, 0.00, 9.26, 0.00, 0.00, 6
1.51852, 14.09, 2.19, 1.66, 72.67, 0.00, 9.32, 0.00, 0.00, 6
1.51299, 14.40, 1.74, 1.54, 74.55, 0.00, 7.59, 0.00, 0.00, 6
1.51131, 13.69, 3.20, 1.81, 72.81, 1.76, 5.43, 1.19, 0.00, 7
1.51838, 14.32, 3.26, 2.22, 71.25, 1.46, 5.79, 1.63, 0.00, 7
1.52365, 15.79, 1.83, 1.31, 70.43, 0.31, 8.61, 1.68, 0.00, 7
1.51613, 13.88, 1.78, 1.79, 73.10, 0.00, 8.67, 0.76, 0.00, 7
1.51602, 14.85, 0.00, 2.38, 73.28, 0.00, 8.76, 0.64, 0.09, 7
1.51623, 14.20, 0.00, 2.79, 73.46, 0.04, 9.04, 0.40, 0.09, 7
1.51719, 14.75, 0.00, 2.00, 73.02, 0.00, 8.53, 1.59, 0.08, 7
1.51683, 14.56, 0.00, 1.98, 73.29, 0.00, 8.52, 1.57, 0.07, 7
1.51727, 14.70, 0.00, 2.34, 73.28, 0.00, 8.95, 0.66, 0.00, 7
1.51653, 11.95, 0.00, 1.19, 75.18, 2.70, 8.93, 0.00, 0.00, 7
1.51514, 14.85, 0.00, 2.42, 73.72, 0.00, 8.39, 0.56, 0.00, 7
1.51658, 14.80, 0.00, 1.99, 73.11, 0.00, 8.28, 1.71, 0.00, 7
1.51732, 14.95, 0.00, 1.80, 72.99, 0.00, 8.61, 1.55, 0.00, 7
1.51831, 14.39, 0.00, 1.82, 72.86, 1.41, 6.47, 2.88, 0.00, 7
