@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51860, 13.36, 3.43, 1.43, 72.26, 0.51, 8.60, 0.00, 0.00, 2
1.51689, 12.67, 2.88, 1.71, 73.21, 0.73, 8.54, 0.00, 0.00, 2
1.51655, 12.75, 2.85, 1.44, 73.27, 0.57, 8.79, 0.11, 0.22, 2
1.53125, 10.73, 0.00, 2.10, 69.81, 0.58, 13.30, 3.15, 0.28, 2
1.53393, 12.30, 0.00, 1.00, 70.16, 0.12, 16.19, 0.00, 0.24, 2
1.51847, 13.10, 3.97, 1.19, 72.44, 0.60, 8.43, 0.00, 0.00, 2
1.51846, 13.41, 3.89, 1.33, 72.38, 0.51, 8.28, 0.00, 0.00, 2
1.51708, 13.72, 3.68, 1.81, 72.06, 0.64, 7.88, 0.00, 0.00, 2
1.51673, 13.30, 3.64, 1.53, 72.53, 0.65, 8.03, 0.00, 0.29, 2
1.51652, 13.56, 3.57, 1.47, 72.45, 0.64, 7.96, 0.00, 0.00, 2
1.51844, 13.25, 3.76, 1.32, 72.40, 0.58, 8.42, 0.00, 0.00, 2
1.51707, 13.48, 3.48, 1.71, 72.52, 0.62, 7.99, 0.00, 0.00, 2
1.52177, 13.20, 3.68, 1.15, 72.75, 0.54, 8.52, 0.00, 0.00, 2
1.52177, 13.75, 1.01, 1.36, 72.19, 0.33, 11.14, 0.00, 0.00, 2
1.52614, 13.70, 0.00, 1.36, 71.24, 0.19, 13.44, 0.00, 0.10, 2
1.51813, 13.43, 3.98, 1.18, 72.49, 0.58, 8.15, 0.00, 0.00, 2
1.51800, 13.71, 3.93, 1.54, 71.81, 0.54, 8.21, 0.00, 0.15, 2
1.51811, 13.33, 3.85, 1.25, 72.78, 0.52, 8.12, 0.00, 0.00, 2
1.51789, 13.19, 3.90, 1.30, 72.33, 0.55, 8.44, 0.00, 0.28, 2
1.51806, 13.00, 3.80, 1.08, 73.07, 0.56, 8.38, 0.00, 0.12, 2
1.51711, 12.89, 3.62, 1.57, 72.96, 0.61, 8.11, 0.00, 0.00, 2
1.51674, 12.79, 3.52, 1.54, 73.36, 0.66, 7.90, 0.00, 0.00, 2
1.51674, 12.87, 3.56, 1.64, 73.14, 0.65, 7.99, 0.00, 0.00, 2
1.51690, 13.33, 3.54, 1.61, 72.54, 0.68, 8.11, 0.00, 0.00, 2
1.51851, 13.20, 3.63, 1.07, 72.83, 0.57, 8.41, 0.09, 0.17, 2
1.51662, 12.85, 3.51, 1.44, 73.01, 0.68, 8.23, 0.06, 0.25, 2
1.51709, 13.00, 3.47, 1.79, 72.72, 0.66, 8.18, 0.00, 0.00, 2
1.51660, 12.99, 3.18, 1.23, 72.97, 0.58, 8.81, 0.00, 0.24, 2
1.51839, 12.85, 3.67, 1.24, 72.57, 0.62, 8.68, 0.00, 0.35, 2
1.51610, 13.33, 3.53, 1.34, 72.67, 0.56, 8.33, 0.00, 0.00, 3
1.51643, 12.16, 3.52, 1.35, 72.89, 0.57, 8.53, 0.00, 0.00, 3
1.51665, 13.14, 3.45, 1.76, 72.48, 0.60, 8.38, 0.00, 0.17, 3
1.52127, 14.32, 3.90, 0.83, 71.50, 0.00, 9.49, 0.00, 0.00, 3
1.51610, 13.42, 3.40, 1.22, 72.69, 0.59, 8.32, 0.00, 0.00, 3
1.51646, 13.04, 3.40, 1.26, 73.01, 0.52, 8.58, 0.00, 0.00, 3
1.52121, 14.03, 3.76, 0.58, 71.79, 0.11, 9.65, 0.00, 0.00, 3
1.51776, 13.53, 3.41, 1.52, 72.04, 0.58, 8.79, 0.00, 0.00, 3
1.51796, 13.50, 3.36, 1.63, 71.94, 0.57, 8.81, 0.00, 0.09, 3
1.51514, 14.01, 2.68, 3.50, 69.89, 1.68, 5.87, 2.20, 0.00, 5
1.52171, 11.56, 1.88, 1.56, 72.86, 0.47, 11.41, 0.00, 0.00, 5
1.51666, 12.86, 0.00, 1.83, 73.88, 0.97, 10.17, 0.00, 0.00, 5
1.52043, 13.38, 0.00, 1.40, 72.25, 0.33, 12.50, 0.00, 0.00, 5
1.52058, 12.85, 1.61, 2.17, 72.18, 0.76, 9.70, 0.24, 0.51, 5
1.52119, 12.97, 0.33, 1.51, 73.39, 0.13, 11.27, 0.00, 0.28, 5
1.51829, 14.46, 2.24, 1.62, 72.38, 0.00, 9.26, 0.00, 0.00, 6
1.51916, 14.15, 0.00, 2.09, 72.74, 0.00, 10.88, 0.00, 0.00, 6
1.51969, 14.56, 0.00, 0.56, 73.48, 0.00, 11.22, 0.00, 0.00, 6
1.51115, 17.38, 0.00, 0.34, 75.41, 0.00, 6.65, 0.00, 0.00, 6
1.51838, 14.32, 3.26, 2.22, 71.25, 1.46, 5.79, 1.63, 0.00, 7
1.52247, 14.86, 2.20, 2.06, 70.26, 0.76, 9.76, 0.00, 0.00, 7
1.51602, 14.85, 0.00, 2.38, 73.28, 0.00, 8.76, 0.64, 0.09, 7
1.51623, 14.20, 0.00, 2.79, 73.46, 0.04, 9.04, 0.40, 0.09, 7
1.51719, 14.75, 0.00, 2.00, 73.02, 0.00, 8.53, 1.59, 0.08, 7
1.51545, 14.14, 0.00, 2.68, 73.39, 0.08, 9.07, 0.61, 0.05, 7
1.51556, 13.87, 0.00, 2.54, 73.23, 0.14, 9.41, 0.81, 0.01, 7
1.51727, 14.70, 0.00, 2.34, 73.28, 0.00, 8.95, 0.66, 0.00, 7
1.51531, 14.38, 0.00, 2.66, 73.10, 0.04, 9.08, 0.64, 0.00, 7
1.51609, 15.01, 0.00, 2.51, 73.05, 0.05, 8.83, 0.53, 0.00, 7
1.51653, 11.95, 0.00, 1.19, 75.18, 2.70, 8.93, 0.00, 0.00, 7
1.51514, 14.85, 0.00, 2.42, 73.72, 0.00, 8.39, 0.56, 0.00, 7
1.51617, 14.95, 0.00, 2.27, 73.30, 0.00, 8.71, 0.67, 0.00, 7
1.51732, 14.95, 0.00, 1.80, 72.99, 0.00, 8.61, 1.55, 0.00, 7
1.51645, 14.94, 0.00, 1.87, 73.11, 0.00, 8.67, 1.38, 0.00, 7
