@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.645, 0.515, 0.16, 1.1845, 0.506, 0.311, 0.335, negative
M, 0.645, 0.48, 0.15, 1.192, 0.6055, 0.2595, 0.285, negative
F, 0.65, 0.49, 0.155, 1.122, 0.545, 0.228, 0.3055, negative
F, 0.665, 0.505, 0.165, 1.349, 0.5985, 0.3175, 0.36, negative
I, 0.505, 0.38, 0.135, 0.5385, 0.2645, 0.095, 0.165, negative
F, 0.575, 0.435, 0.155, 0.8975, 0.4115, 0.2325, 0.23, negative
M, 0.6, 0.45, 0.145, 0.877, 0.4325, 0.155, 0.24, negative
M, 0.6, 0.51, 0.185, 1.285, 0.6095, 0.2745, 0.315, negative
F, 0.54, 0.42, 0.14, 0.8035, 0.38, 0.1805, 0.21, negative
M, 0.6, 0.475, 0.175, 1.11, 0.5105, 0.256, 0.285, negative
I, 0.505, 0.425, 0.125, 0.6115, 0.245, 0.1375, 0.2, negative
M, 0.61, 0.475, 0.175, 1.024, 0.409, 0.261, 0.322, negative
M, 0.61, 0.485, 0.17, 1.281, 0.597, 0.3035, 0.33, negative
I, 0.455, 0.355, 0.105, 0.372, 0.138, 0.0765, 0.135, negative
M, 0.575, 0.47, 0.15, 0.9785, 0.4505, 0.196, 0.276, negative
M, 0.635, 0.5, 0.18, 1.154, 0.4405, 0.2315, 0.387, negative
M, 0.425, 0.335, 0.1, 0.4085, 0.1755, 0.092, 0.135, negative
F, 0.64, 0.54, 0.175, 1.571, 0.627, 0.271, 0.475, positive
M, 0.64, 0.505, 0.165, 1.4435, 0.6145, 0.3035, 0.39, positive
M, 0.545, 0.41, 0.145, 0.873, 0.3035, 0.196, 0.31, positive
M, 0.61, 0.47, 0.155, 1.0325, 0.497, 0.2175, 0.2785, negative
F, 0.585, 0.45, 0.145, 0.9835, 0.4845, 0.242, 0.22, negative
I, 0.475, 0.355, 0.125, 0.4865, 0.2155, 0.1105, 0.142, negative
F, 0.585, 0.465, 0.165, 0.9355, 0.4035, 0.2275, 0.259, negative
F, 0.6, 0.47, 0.17, 1.0805, 0.4995, 0.2245, 0.3205, negative
F, 0.6, 0.485, 0.145, 0.776, 0.3545, 0.1585, 0.239, negative
I, 0.465, 0.37, 0.115, 0.4075, 0.1515, 0.0935, 0.1455, negative
I, 0.53, 0.425, 0.13, 0.781, 0.3905, 0.2005, 0.215, negative
M, 0.53, 0.41, 0.125, 0.769, 0.346, 0.173, 0.215, negative
M, 0.43, 0.31, 0.13, 0.6485, 0.2735, 0.163, 0.184, negative
M, 0.515, 0.37, 0.115, 0.6145, 0.3415, 0.155, 0.146, negative
I, 0.535, 0.45, 0.135, 0.728, 0.2845, 0.1845, 0.265, negative
I, 0.58, 0.42, 0.14, 0.701, 0.3285, 0.102, 0.2255, negative
M, 0.555, 0.445, 0.13, 0.8625, 0.4225, 0.155, 0.24, negative
M, 0.565, 0.445, 0.14, 0.836, 0.406, 0.1605, 0.2245, negative
M, 0.445, 0.37, 0.125, 0.515, 0.2495, 0.087, 0.159, negative
F, 0.57, 0.465, 0.155, 0.9685, 0.446, 0.261, 0.255, negative
F, 0.57, 0.44, 0.19, 1.018, 0.447, 0.207, 0.265, negative
M, 0.295, 0.225, 0.09, 0.1385, 0.048, 0.046, 0.05, negative
F, 0.56, 0.44, 0.155, 0.9705, 0.4315, 0.263, 0.255, negative
F, 0.61, 0.5, 0.18, 1.438, 0.5185, 0.3735, 0.3345, negative
F, 0.555, 0.43, 0.14, 0.7545, 0.3525, 0.1835, 0.2015, negative
M, 0.59, 0.45, 0.16, 0.998, 0.445, 0.214, 0.301, negative
M, 0.61, 0.365, 0.155, 1.0765, 0.488, 0.249, 0.27, negative
F, 0.675, 0.52, 0.175, 1.494, 0.7365, 0.3055, 0.37, negative
F, 0.715, 0.565, 0.18, 1.79, 0.844, 0.3535, 0.5385, negative
F, 0.57, 0.45, 0.15, 0.9645, 0.531, 0.189, 0.209, negative
M, 0.65, 0.525, 0.185, 1.3455, 0.586, 0.278, 0.3865, negative
