@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.58, 0.445, 0.135, 0.814, 0.3775, 0.1915, 0.22, negative
F, 0.58, 0.45, 0.155, 0.93, 0.385, 0.246, 0.265, negative
M, 0.605, 0.475, 0.14, 1.1175, 0.555, 0.257, 0.274, negative
F, 0.605, 0.475, 0.165, 1.056, 0.433, 0.2195, 0.357, negative
F, 0.67, 0.505, 0.205, 1.3645, 0.6075, 0.3025, 0.353, negative
F, 0.69, 0.54, 0.155, 1.454, 0.624, 0.3105, 0.39, negative
F, 0.7, 0.525, 0.19, 1.6465, 0.8545, 0.307, 0.3995, negative
M, 0.5, 0.42, 0.135, 0.6765, 0.302, 0.1415, 0.2065, negative
I, 0.5, 0.41, 0.14, 0.6615, 0.2585, 0.1625, 0.196, negative
M, 0.535, 0.435, 0.15, 0.717, 0.3475, 0.1445, 0.194, negative
F, 0.545, 0.445, 0.15, 0.8, 0.3535, 0.163, 0.207, negative
I, 0.56, 0.425, 0.145, 0.688, 0.3095, 0.1305, 0.2165, negative
I, 0.61, 0.465, 0.15, 0.9605, 0.4495, 0.1725, 0.286, negative
F, 0.58, 0.46, 0.175, 1.165, 0.65, 0.2205, 0.3055, negative
F, 0.58, 0.435, 0.14, 0.953, 0.475, 0.2165, 0.2095, negative
F, 0.64, 0.515, 0.205, 1.5335, 0.6635, 0.3345, 0.4025, negative
I, 0.465, 0.37, 0.12, 0.4365, 0.188, 0.0815, 0.147, negative
I, 0.48, 0.37, 0.125, 0.474, 0.179, 0.1035, 0.175, negative
I, 0.5, 0.375, 0.14, 0.559, 0.2375, 0.135, 0.169, negative
I, 0.52, 0.41, 0.145, 0.646, 0.2965, 0.1595, 0.165, negative
I, 0.53, 0.4, 0.145, 0.555, 0.1935, 0.1305, 0.195, negative
I, 0.54, 0.425, 0.14, 0.742, 0.32, 0.1395, 0.25, negative
I, 0.54, 0.42, 0.14, 0.6275, 0.2505, 0.1175, 0.235, negative
I, 0.55, 0.425, 0.15, 0.639, 0.269, 0.1345, 0.217, negative
F, 0.6, 0.475, 0.15, 1.13, 0.575, 0.196, 0.305, negative
M, 0.615, 0.475, 0.175, 1.224, 0.6035, 0.261, 0.311, negative
M, 0.63, 0.505, 0.17, 1.0915, 0.4615, 0.266, 0.3, negative
M, 0.645, 0.51, 0.19, 1.4745, 0.605, 0.345, 0.48, negative
M, 0.65, 0.51, 0.16, 1.3835, 0.6385, 0.2905, 0.3665, negative
M, 0.485, 0.37, 0.155, 0.968, 0.419, 0.2455, 0.2365, negative
M, 0.515, 0.35, 0.155, 0.9225, 0.4185, 0.198, 0.273, negative
I, 0.475, 0.34, 0.105, 0.4535, 0.203, 0.08, 0.1465, negative
I, 0.525, 0.4, 0.145, 0.6095, 0.248, 0.159, 0.175, negative
I, 0.53, 0.395, 0.13, 0.575, 0.247, 0.115, 0.183, negative
I, 0.54, 0.395, 0.135, 0.6555, 0.2705, 0.155, 0.192, negative
M, 0.565, 0.45, 0.16, 0.895, 0.415, 0.195, 0.246, negative
F, 0.575, 0.43, 0.155, 0.7955, 0.3485, 0.1925, 0.22, negative
M, 0.575, 0.475, 0.145, 0.857, 0.3665, 0.173, 0.269, negative
M, 0.625, 0.515, 0.17, 1.331, 0.5725, 0.3005, 0.361, negative
M, 0.63, 0.49, 0.155, 1.2525, 0.63, 0.246, 0.289, negative
M, 0.655, 0.52, 0.17, 1.1445, 0.53, 0.223, 0.348, negative
M, 0.505, 0.39, 0.12, 0.653, 0.3315, 0.1385, 0.167, negative
F, 0.53, 0.43, 0.15, 0.741, 0.325, 0.1855, 0.196, negative
M, 0.58, 0.46, 0.16, 1.063, 0.513, 0.2705, 0.2625, negative
M, 0.5, 0.39, 0.135, 0.7815, 0.361, 0.1575, 0.2385, negative
M, 0.375, 0.29, 0.1, 0.276, 0.1175, 0.0565, 0.085, negative
M, 0.585, 0.455, 0.14, 0.97, 0.462, 0.185, 0.295, negative
I, 0.46, 0.35, 0.11, 0.3945, 0.1685, 0.0865, 0.125, negative
M, 0.445, 0.34, 0.12, 0.4475, 0.193, 0.1035, 0.13, negative
F, 0.52, 0.4, 0.125, 0.6865, 0.295, 0.1715, 0.185, negative
F, 0.55, 0.425, 0.145, 0.797, 0.297, 0.15, 0.265, negative
F, 0.505, 0.4, 0.165, 0.729, 0.2675, 0.155, 0.25, negative
M, 0.46, 0.375, 0.14, 0.5105, 0.192, 0.1045, 0.205, negative
F, 0.345, 0.255, 0.1, 0.197, 0.071, 0.051, 0.06, negative
M, 0.5, 0.355, 0.14, 0.528, 0.2125, 0.149, 0.14, negative
M, 0.4, 0.305, 0.13, 0.2935, 0.096, 0.0675, 0.105, negative
M, 0.59, 0.455, 0.16, 1.09, 0.5, 0.2215, 0.292, negative
F, 0.595, 0.47, 0.155, 1.1775, 0.542, 0.269, 0.31, negative
F, 0.625, 0.49, 0.165, 1.127, 0.477, 0.2365, 0.3185, negative
M, 0.645, 0.49, 0.16, 1.251, 0.5355, 0.3345, 0.3165, negative
F, 0.65, 0.5, 0.185, 1.4415, 0.741, 0.2955, 0.341, negative
F, 0.57, 0.45, 0.18, 0.908, 0.4015, 0.217, 0.255, negative
M, 0.595, 0.47, 0.165, 1.108, 0.4915, 0.2325, 0.3345, negative
F, 0.615, 0.475, 0.17, 1.055, 0.543, 0.246, 0.2345, negative
M, 0.62, 0.49, 0.155, 1.1, 0.505, 0.2475, 0.31, negative
I, 0.55, 0.42, 0.155, 0.912, 0.495, 0.1805, 0.205, negative
F, 0.58, 0.425, 0.15, 0.844, 0.3645, 0.185, 0.2705, negative
M, 0.65, 0.52, 0.155, 1.368, 0.6185, 0.288, 0.365, negative
M, 0.725, 0.57, 0.19, 2.3305, 1.253, 0.541, 0.52, negative
F, 0.525, 0.43, 0.135, 0.8435, 0.4325, 0.18, 0.1815, negative
F, 0.625, 0.485, 0.16, 1.254, 0.591, 0.259, 0.3485, negative
I, 0.5, 0.39, 0.13, 0.5075, 0.2115, 0.104, 0.1755, negative
I, 0.51, 0.4, 0.145, 0.5775, 0.231, 0.143, 0.177, negative
F, 0.55, 0.435, 0.14, 0.745, 0.347, 0.174, 0.2265, negative
M, 0.605, 0.49, 0.18, 1.167, 0.457, 0.29, 0.3745, negative
M, 0.555, 0.425, 0.15, 0.873, 0.4625, 0.1845, 0.1965, negative
I, 0.535, 0.42, 0.145, 0.6885, 0.273, 0.1515, 0.237, negative
I, 0.575, 0.445, 0.16, 0.9175, 0.45, 0.1935, 0.24, negative
M, 0.59, 0.405, 0.15, 0.853, 0.326, 0.2615, 0.245, negative
F, 0.655, 0.49, 0.16, 1.204, 0.5455, 0.2615, 0.3225, negative
F, 0.53, 0.395, 0.115, 0.5685, 0.249, 0.1375, 0.161, negative
M, 0.575, 0.48, 0.15, 0.9465, 0.4355, 0.2605, 0.2505, negative
F, 0.43, 0.35, 0.09, 0.397, 0.1575, 0.089, 0.12, negative
M, 0.45, 0.355, 0.12, 0.3955, 0.147, 0.0765, 0.145, negative
F, 0.545, 0.405, 0.175, 0.98, 0.2585, 0.207, 0.38, positive
M, 0.385, 0.305, 0.09, 0.2775, 0.109, 0.0515, 0.1, negative
I, 0.44, 0.35, 0.12, 0.375, 0.1425, 0.0965, 0.115, negative
M, 0.505, 0.385, 0.11, 0.655, 0.3185, 0.15, 0.185, negative
F, 0.5, 0.405, 0.14, 0.6735, 0.265, 0.124, 0.25, positive
M, 0.53, 0.405, 0.13, 0.738, 0.2845, 0.17, 0.193, negative
F, 0.64, 0.48, 0.195, 1.1435, 0.4915, 0.2345, 0.353, negative
F, 0.64, 0.475, 0.175, 1.1545, 0.4865, 0.341, 0.288, negative
M, 0.65, 0.505, 0.18, 1.469, 0.7115, 0.3335, 0.38, negative
I, 0.4, 0.265, 0.1, 0.2775, 0.1245, 0.0605, 0.08, negative
I, 0.5, 0.365, 0.125, 0.528, 0.229, 0.103, 0.1645, negative
I, 0.515, 0.4, 0.135, 0.636, 0.3055, 0.1215, 0.1855, negative
F, 0.575, 0.475, 0.16, 0.895, 0.3605, 0.221, 0.271, negative
F, 0.555, 0.405, 0.12, 0.913, 0.4585, 0.196, 0.2065, negative
F, 0.64, 0.5, 0.17, 1.2645, 0.565, 0.3375, 0.315, negative
I, 0.475, 0.335, 0.1, 0.4425, 0.1895, 0.086, 0.135, negative
I, 0.49, 0.39, 0.12, 0.511, 0.2205, 0.103, 0.1745, negative
I, 0.575, 0.45, 0.145, 0.872, 0.4675, 0.18, 0.217, negative
F, 0.61, 0.495, 0.165, 1.0835, 0.4525, 0.273, 0.317, negative
I, 0.515, 0.39, 0.12, 0.565, 0.235, 0.135, 0.179, negative
M, 0.53, 0.425, 0.13, 0.702, 0.2975, 0.1395, 0.22, negative
I, 0.565, 0.43, 0.125, 0.6545, 0.2815, 0.139, 0.21, negative
F, 0.615, 0.455, 0.135, 1.059, 0.4735, 0.263, 0.274, negative
F, 0.655, 0.5, 0.18, 1.4155, 0.508, 0.314, 0.445, positive
F, 0.515, 0.4, 0.115, 0.578, 0.191, 0.1445, 0.17, negative
M, 0.625, 0.495, 0.155, 1.025, 0.46, 0.1945, 0.34, negative
F, 0.645, 0.5, 0.15, 1.159, 0.4675, 0.3355, 0.31, negative
M, 0.63, 0.49, 0.15, 1.1955, 0.5845, 0.257, 0.3, negative
F, 0.64, 0.49, 0.18, 1.36, 0.653, 0.347, 0.305, negative
I, 0.515, 0.395, 0.125, 0.5805, 0.2365, 0.1075, 0.19, negative
M, 0.67, 0.525, 0.18, 1.4915, 0.728, 0.343, 0.381, negative
M, 0.625, 0.48, 0.16, 1.2415, 0.6575, 0.2625, 0.2785, negative
