@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.44, 0.45, 0.53, 0.19, 0.5, 0.41, 0.28, negative
0.32, 0.49, 0.53, 0.28, 0.5, 0.5, 0.5, negative
0.35, 0.42, 0.56, 0.28, 0.5, 0.47, 0.22, negative
0.47, 0.45, 0.51, 0.33, 0.5, 0.46, 0.26, negative
0.72, 0.51, 0.52, 0.08, 0.5, 0.54, 0.22, negative
0.48, 0.45, 0.63, 0.19, 0.5, 0.58, 0.22, negative
0.27, 0.31, 0.55, 0.13, 0.5, 0.5, 0.22, negative
0.31, 0.6, 0.65, 0.18, 0.5, 0.46, 0.22, negative
0.54, 0.59, 0.57, 0.34, 0.5, 0.49, 0.22, negative
0.47, 0.44, 0.53, 0.18, 0.5, 0.47, 0.29, negative
0.47, 0.56, 0.51, 0.2, 0.5, 0.52, 0.59, negative
0.36, 0.32, 0.55, 0.27, 0.5, 0.47, 0.43, negative
0.4, 0.39, 0.6, 0.23, 0.5, 0.52, 0.31, negative
0.57, 0.55, 0.51, 0.18, 0.5, 0.51, 0.43, negative
0.37, 0.29, 0.45, 0.15, 0.5, 0.49, 0.22, negative
0.31, 0.5, 0.54, 0.32, 0.5, 0.53, 0.31, negative
0.19, 0.66, 0.6, 0.14, 0.5, 0.2, 0.25, negative
0.44, 0.65, 0.49, 0.16, 0.5, 0.48, 0.31, negative
0.45, 0.36, 0.5, 0.19, 0.5, 0.53, 0.7, negative
0.6, 0.57, 0.63, 0.22, 0.5, 0.5, 0.49, negative
0.45, 0.51, 0.43, 0.22, 0.5, 0.57, 0.22, negative
0.29, 0.39, 0.46, 0.36, 0.5, 0.51, 0.22, negative
0.47, 0.4, 0.63, 0.19, 0.5, 0.52, 0.32, negative
0.33, 0.38, 0.47, 0.14, 0.5, 0.51, 0.47, negative
0.38, 0.44, 0.57, 0.14, 0.5, 0.53, 0.52, negative
0.35, 0.29, 0.46, 0.14, 0.5, 0.54, 0.66, negative
0.41, 0.47, 0.5, 0.14, 0.5, 0.53, 0.37, negative
0.28, 0.46, 0.26, 0.18, 0.5, 0.39, 0.22, positive
0.4, 0.39, 0.33, 0.17, 0.5, 0.51, 0.31, positive
0.55, 0.44, 0.5, 0.09, 0.5, 0.55, 0.22, positive
0.44, 0.35, 0.55, 0.14, 0.5, 0.52, 0.22, positive
0.65, 0.58, 0.53, 0.21, 0.5, 0.51, 0.22, positive
0.4, 0.36, 0.32, 0.16, 0.5, 0.51, 0.27, positive
