@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.34, 0.35, 0.58, 0.2, 0.5, 0.46, 0.32, negative
0.33, 0.21, 0.53, 0.15, 1.0, 0.52, 0.5, negative
0.51, 0.55, 0.56, 0.18, 0.5, 0.5, 0.38, negative
0.33, 0.28, 0.52, 0.15, 0.5, 0.51, 0.86, negative
0.45, 0.54, 0.49, 0.29, 0.5, 0.49, 0.25, negative
0.43, 0.41, 0.51, 0.34, 0.5, 0.49, 0.28, negative
0.53, 0.46, 0.54, 0.37, 0.5, 0.51, 0.3, negative
0.46, 0.41, 0.58, 0.1, 0.5, 0.48, 0.22, negative
0.45, 0.49, 0.57, 0.25, 0.5, 0.48, 0.22, negative
0.35, 0.41, 0.53, 0.27, 0.5, 0.47, 0.29, negative
0.56, 0.49, 0.54, 0.15, 0.5, 0.5, 0.35, negative
0.52, 0.46, 0.56, 0.25, 0.5, 0.52, 0.22, negative
0.34, 0.47, 0.48, 0.32, 0.5, 0.42, 0.22, negative
0.57, 0.42, 0.63, 0.22, 0.5, 0.68, 0.32, negative
0.47, 0.37, 0.46, 0.28, 0.5, 0.52, 0.99, negative
0.48, 0.5, 0.47, 0.29, 0.5, 0.46, 0.27, negative
0.4, 0.49, 0.53, 0.23, 0.5, 0.44, 0.26, negative
0.45, 0.41, 0.53, 0.49, 0.5, 0.49, 0.31, negative
0.32, 0.6, 0.48, 0.13, 0.5, 0.53, 0.22, negative
0.48, 0.55, 0.58, 0.18, 0.5, 0.38, 0.69, negative
0.55, 0.4, 0.62, 0.22, 0.5, 0.37, 0.28, negative
0.54, 0.6, 0.57, 0.17, 0.5, 0.44, 0.22, negative
0.44, 0.43, 0.46, 0.28, 0.5, 0.45, 0.29, negative
0.46, 0.5, 0.5, 0.28, 0.5, 0.5, 0.37, negative
0.73, 0.52, 0.59, 0.25, 0.5, 0.51, 0.22, negative
0.23, 0.13, 0.51, 0.16, 0.5, 0.53, 0.51, negative
0.52, 0.31, 0.56, 0.16, 0.5, 0.55, 0.22, negative
0.49, 0.48, 0.51, 0.21, 0.5, 0.53, 0.22, negative
0.6, 0.62, 0.54, 0.11, 0.5, 0.51, 0.22, negative
0.47, 0.32, 0.51, 0.24, 0.5, 0.54, 0.27, negative
0.38, 0.51, 0.56, 0.21, 0.5, 0.48, 0.31, negative
0.66, 0.65, 0.53, 0.17, 0.5, 0.47, 0.66, negative
0.48, 0.54, 0.56, 0.29, 0.5, 0.51, 0.43, negative
0.47, 0.47, 0.5, 0.19, 0.5, 0.51, 0.26, negative
0.41, 0.56, 0.53, 0.16, 0.5, 0.55, 0.26, negative
0.49, 0.51, 0.52, 0.13, 0.5, 0.51, 0.33, negative
0.45, 0.4, 0.56, 0.15, 0.5, 0.52, 0.22, negative
0.33, 0.17, 0.52, 0.13, 0.5, 0.51, 0.75, negative
0.57, 0.29, 0.63, 0.22, 0.5, 0.49, 0.27, negative
0.5, 0.5, 0.48, 0.34, 0.5, 0.52, 0.27, negative
0.53, 0.44, 0.54, 0.52, 0.5, 0.49, 0.38, negative
0.57, 0.53, 0.6, 0.28, 0.5, 0.52, 0.45, negative
0.25, 0.41, 0.47, 0.14, 0.5, 0.56, 0.68, negative
0.4, 0.43, 0.49, 0.17, 0.5, 0.51, 0.36, negative
0.36, 0.48, 0.61, 0.26, 0.5, 0.5, 0.16, negative
0.57, 0.59, 0.49, 0.86, 0.5, 0.47, 0.22, negative
0.36, 0.68, 0.38, 0.08, 0.5, 0.53, 0.25, positive
0.51, 0.46, 0.49, 0.21, 0.5, 0.55, 0.22, positive
0.73, 0.59, 0.35, 0.15, 0.5, 0.54, 0.22, positive
0.48, 0.58, 0.58, 0.12, 0.5, 0.49, 0.22, positive
0.48, 0.49, 0.49, 0.26, 0.5, 0.39, 0.27, positive
0.57, 0.54, 0.32, 0.15, 0.5, 0.52, 0.25, positive
