@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.46, 0.49, 0.55, 0.18, 0.5, 0.56, 0.22, negative
0.42, 0.28, 0.49, 0.22, 0.5, 0.55, 0.34, negative
0.47, 0.5, 0.47, 0.22, 0.5, 0.53, 0.45, negative
0.37, 0.47, 0.49, 0.12, 0.5, 0.47, 0.31, negative
0.4, 0.75, 0.44, 0.12, 0.5, 0.49, 0.22, negative
0.33, 0.46, 0.6, 0.18, 0.5, 0.51, 0.26, negative
0.51, 0.5, 0.54, 0.11, 0.5, 0.6, 0.22, negative
0.38, 0.58, 0.46, 0.21, 0.5, 0.52, 0.22, negative
0.27, 0.46, 0.52, 0.17, 0.5, 0.49, 0.44, negative
0.48, 0.65, 0.36, 0.24, 0.5, 0.54, 0.31, negative
0.5, 0.43, 0.5, 0.17, 0.5, 0.46, 0.47, negative
0.55, 0.47, 0.53, 0.2, 0.5, 0.4, 0.22, negative
0.53, 0.25, 0.59, 0.27, 0.5, 0.45, 0.26, negative
0.44, 0.39, 0.63, 0.11, 0.5, 0.49, 0.26, negative
0.38, 0.42, 0.47, 0.12, 0.5, 0.47, 0.53, negative
0.45, 0.57, 0.52, 0.21, 0.5, 0.54, 0.38, negative
0.58, 0.64, 0.42, 0.3, 0.5, 0.54, 0.22, negative
0.55, 0.79, 0.45, 0.25, 0.5, 0.51, 0.22, negative
0.63, 0.58, 0.57, 0.1, 0.5, 0.52, 0.33, negative
0.54, 0.67, 0.56, 0.15, 0.5, 0.57, 0.33, negative
0.47, 0.38, 0.5, 0.15, 0.5, 0.49, 0.47, negative
0.41, 0.42, 0.53, 0.17, 0.5, 0.48, 0.58, negative
0.49, 0.38, 0.49, 0.15, 0.5, 0.53, 0.25, negative
0.36, 0.52, 0.61, 0.33, 0.5, 0.52, 0.37, negative
0.64, 0.56, 0.52, 0.17, 0.5, 0.54, 0.47, negative
0.54, 0.54, 0.56, 0.18, 0.5, 0.46, 0.29, negative
0.34, 0.24, 0.51, 0.15, 0.5, 0.54, 0.4, negative
0.38, 0.4, 0.39, 0.19, 0.5, 0.46, 0.62, negative
0.25, 0.4, 0.52, 0.15, 0.5, 0.56, 0.28, negative
0.59, 0.67, 0.54, 0.19, 0.5, 0.48, 0.6, negative
0.47, 0.43, 0.61, 0.4, 0.5, 0.48, 0.47, negative
0.43, 0.4, 0.6, 0.16, 0.5, 0.53, 0.39, negative
0.46, 0.49, 0.45, 0.28, 0.5, 0.55, 0.22, positive
0.4, 0.36, 0.55, 0.15, 0.5, 0.53, 0.22, positive
0.75, 0.69, 0.48, 0.13, 0.5, 0.57, 0.4, positive
0.49, 0.5, 0.42, 0.43, 0.5, 0.5, 0.36, positive
0.68, 0.68, 0.35, 0.16, 0.5, 0.62, 0.22, positive
0.57, 0.47, 0.48, 0.17, 0.5, 0.52, 0.26, positive
