@relation  vehicle
@attribute COMPACTNESS integer[73,119]
@attribute CIRCULARITY integer[33,59]
@attribute DISTANCECIRCULARITY integer[40,112]
@attribute RADIUSRATIO integer[104,333]
@attribute PRAXISASPECTRATIO integer[47,138]
@attribute MAXLENGTHASPECTRATIO integer[2,55]
@attribute SCATTERRATIO integer[112,265]
@attribute ELONGATEDNESS integer[26,61]
@attribute PRAXISRECTANGULAR integer[17,29]
@attribute LENGTHRECTANGULAR integer[118,188]
@attribute MAJORVARIANCE integer[130,320]
@attribute MINORVARIANCE integer[184,1018]
@attribute GYRATIONRADIUS integer[109,268]
@attribute MAJORSKEWNESS integer[59,135]
@attribute MINORSKEWNESS integer[0,22]
@attribute MINORKURTOSIS integer[0,41]
@attribute MAJORKURTOSIS integer[176,206]
@attribute HOLLOWSRATIO integer[181,211]
@attribute class{van,saab,bus,opel}
@inputs COMPACTNESS,CIRCULARITY,DISTANCECIRCULARITY,RADIUSRATIO,PRAXISASPECTRATIO,MAXLENGTHASPECTRATIO,SCATTERRATIO,ELONGATEDNESS,PRAXISRECTANGULAR,LENGTHRECTANGULAR,MAJORVARIANCE,MINORVARIANCE,GYRATIONRADIUS,MAJORSKEWNESS,MINORSKEWNESS,MINORKURTOSIS,MAJORKURTOSIS,HOLLOWSRATIO
@outputs class
@data
93, 37, 76, 183, 63, 8, 164, 40, 20, 134, 191, 405, 139, 67, 4, 7, 192, 197, saab
78, 38, 63, 115, 51, 6, 142, 47, 19, 130, 162, 299, 146, 77, 2, 4, 181, 185, saab
84, 35, 53, 122, 57, 4, 116, 59, 17, 123, 135, 196, 128, 76, 10, 27, 183, 190, saab
105, 53, 108, 206, 63, 12, 222, 31, 25, 168, 226, 712, 201, 71, 15, 35, 189, 203, saab
93, 45, 81, 177, 64, 7, 160, 41, 20, 147, 180, 383, 188, 70, 11, 11, 192, 199, saab
101, 51, 98, 194, 60, 10, 195, 34, 22, 161, 219, 572, 219, 67, 0, 10, 192, 201, saab
107, 54, 98, 210, 66, 11, 218, 31, 24, 169, 221, 704, 216, 71, 14, 0, 188, 197, saab
105, 54, 108, 234, 70, 12, 215, 31, 24, 168, 226, 687, 228, 68, 4, 22, 189, 201, saab
104, 49, 105, 209, 61, 11, 207, 32, 24, 157, 217, 637, 168, 64, 0, 19, 193, 207, saab
99, 43, 89, 195, 63, 8, 186, 35, 22, 144, 210, 521, 166, 68, 6, 13, 191, 199, saab
101, 48, 85, 191, 60, 11, 175, 38, 21, 153, 192, 458, 187, 62, 5, 22, 197, 210, saab
89, 42, 80, 151, 62, 6, 144, 46, 19, 139, 166, 308, 170, 74, 17, 13, 185, 189, saab
107, 56, 104, 231, 71, 11, 219, 31, 25, 172, 226, 705, 217, 71, 19, 11, 189, 196, saab
106, 52, 101, 213, 64, 11, 201, 33, 23, 158, 214, 607, 204, 65, 2, 4, 192, 204, saab
81, 43, 68, 139, 62, 7, 149, 46, 19, 145, 172, 323, 171, 83, 1, 14, 180, 184, bus
93, 49, 79, 180, 65, 7, 173, 37, 21, 158, 189, 463, 194, 70, 5, 10, 197, 202, bus
101, 56, 104, 185, 53, 6, 257, 26, 28, 168, 275, 956, 230, 83, 5, 26, 180, 184, bus
96, 49, 98, 187, 59, 6, 213, 31, 24, 152, 228, 680, 210, 77, 8, 28, 188, 189, bus
87, 42, 70, 139, 59, 7, 149, 45, 19, 142, 177, 327, 156, 78, 6, 9, 185, 188, bus
87, 41, 76, 165, 67, 7, 148, 45, 19, 140, 171, 327, 152, 72, 7, 13, 188, 195, bus
109, 55, 102, 169, 51, 6, 241, 27, 26, 165, 265, 870, 247, 84, 10, 11, 184, 183, bus
85, 45, 70, 130, 58, 8, 151, 45, 19, 146, 171, 334, 187, 79, 2, 5, 181, 186, bus
98, 46, 88, 191, 63, 6, 192, 34, 22, 147, 215, 563, 174, 73, 2, 26, 194, 197, bus
86, 43, 70, 126, 56, 6, 148, 46, 19, 145, 166, 317, 171, 86, 6, 9, 179, 182, bus
91, 42, 81, 193, 69, 5, 169, 38, 20, 137, 184, 434, 156, 68, 3, 23, 198, 204, bus
87, 46, 71, 159, 66, 6, 151, 44, 19, 146, 175, 343, 189, 73, 2, 0, 186, 190, bus
86, 43, 69, 123, 54, 6, 150, 46, 19, 144, 174, 325, 177, 87, 3, 7, 180, 182, bus
100, 51, 89, 199, 65, 6, 201, 32, 23, 159, 219, 622, 205, 74, 6, 7, 193, 193, bus
85, 42, 70, 130, 56, 7, 150, 45, 19, 145, 177, 328, 172, 82, 10, 14, 181, 185, bus
90, 38, 75, 164, 64, 7, 151, 43, 19, 131, 168, 345, 139, 66, 0, 0, 195, 204, bus
94, 37, 73, 186, 71, 7, 154, 42, 19, 127, 171, 362, 132, 67, 2, 8, 197, 206, bus
92, 45, 74, 187, 74, 7, 157, 41, 19, 143, 179, 375, 183, 70, 8, 6, 195, 201, bus
89, 41, 75, 162, 66, 5, 153, 43, 19, 136, 175, 352, 154, 72, 2, 0, 188, 195, bus
86, 46, 73, 125, 57, 6, 151, 45, 19, 147, 170, 334, 188, 82, 9, 11, 180, 184, bus
88, 44, 71, 165, 70, 7, 144, 46, 19, 141, 167, 312, 172, 71, 4, 4, 188, 193, bus
105, 51, 80, 207, 71, 6, 195, 33, 22, 159, 214, 579, 188, 75, 6, 20, 194, 194, bus
84, 38, 74, 138, 57, 8, 139, 49, 18, 127, 160, 282, 127, 72, 9, 20, 183, 191, opel
97, 41, 92, 197, 63, 10, 179, 37, 21, 140, 197, 481, 136, 63, 4, 3, 197, 204, opel
82, 40, 73, 141, 57, 8, 153, 44, 19, 133, 173, 342, 153, 75, 11, 9, 181, 187, opel
104, 56, 96, 231, 74, 11, 220, 30, 25, 172, 223, 713, 218, 73, 6, 16, 186, 195, opel
97, 48, 105, 212, 64, 11, 201, 33, 23, 155, 212, 602, 162, 64, 2, 7, 193, 202, opel
86, 36, 66, 128, 57, 8, 131, 52, 18, 127, 148, 252, 139, 76, 5, 27, 183, 187, opel
96, 54, 104, 175, 58, 10, 215, 31, 24, 175, 221, 682, 222, 75, 13, 23, 186, 194, opel
92, 42, 75, 172, 60, 8, 147, 45, 19, 142, 174, 322, 160, 62, 22, 10, 206, 211, opel
99, 52, 104, 177, 55, 10, 210, 32, 24, 166, 219, 657, 215, 73, 3, 2, 187, 194, opel
100, 51, 109, 224, 67, 9, 217, 30, 24, 162, 238, 704, 206, 72, 6, 18, 189, 199, opel
85, 36, 72, 127, 56, 7, 127, 54, 18, 125, 144, 233, 123, 70, 3, 30, 184, 194, opel
101, 55, 107, 200, 61, 11, 225, 30, 25, 178, 228, 730, 204, 74, 8, 35, 187, 201, opel
94, 38, 84, 158, 55, 9, 169, 39, 20, 130, 196, 430, 155, 69, 9, 15, 190, 195, opel
92, 46, 79, 176, 64, 8, 162, 41, 20, 149, 183, 396, 178, 67, 2, 10, 191, 198, opel
93, 43, 78, 166, 59, 7, 151, 44, 19, 141, 182, 342, 174, 68, 15, 2, 193, 197, opel
103, 49, 107, 179, 54, 12, 208, 32, 24, 159, 214, 644, 183, 66, 1, 12, 191, 200, opel
97, 46, 94, 209, 67, 10, 195, 34, 22, 147, 224, 573, 194, 70, 0, 14, 188, 197, opel
87, 44, 98, 211, 70, 10, 189, 35, 22, 141, 214, 535, 178, 71, 2, 21, 187, 194, opel
100, 51, 109, 231, 70, 11, 220, 30, 25, 163, 238, 722, 206, 73, 11, 19, 189, 198, opel
92, 52, 93, 204, 67, 9, 189, 35, 22, 161, 214, 536, 240, 72, 2, 5, 188, 195, opel
106, 49, 96, 201, 61, 10, 181, 36, 21, 158, 197, 494, 180, 62, 19, 15, 202, 209, opel
