@relation  vehicle
@attribute COMPACTNESS integer[73,119]
@attribute CIRCULARITY integer[33,59]
@attribute DISTANCECIRCULARITY integer[40,112]
@attribute RADIUSRATIO integer[104,333]
@attribute PRAXISASPECTRATIO integer[47,138]
@attribute MAXLENGTHASPECTRATIO integer[2,55]
@attribute SCATTERRATIO integer[112,265]
@attribute ELONGATEDNESS integer[26,61]
@attribute PRAXISRECTANGULAR integer[17,29]
@attribute LENGTHRECTANGULAR integer[118,188]
@attribute MAJORVARIANCE integer[130,320]
@attribute MINORVARIANCE integer[184,1018]
@attribute GYRATIONRADIUS integer[109,268]
@attribute MAJORSKEWNESS integer[59,135]
@attribute MINORSKEWNESS integer[0,22]
@attribute MINORKURTOSIS integer[0,41]
@attribute MAJORKURTOSIS integer[176,206]
@attribute HOLLOWSRATIO integer[181,211]
@attribute class{van,saab,bus,opel}
@inputs COMPACTNESS,CIRCULARITY,DISTANCECIRCULARITY,RADIUSRATIO,PRAXISASPECTRATIO,MAXLENGTHASPECTRATIO,SCATTERRATIO,ELONGATEDNESS,PRAXISRECTANGULAR,LENGTHRECTANGULAR,MAJORVARIANCE,MINORVARIANCE,GYRATIONRADIUS,MAJORSKEWNESS,MINORSKEWNESS,MINORKURTOSIS,MAJORKURTOSIS,HOLLOWSRATIO
@outputs class
@data
96, 39, 64, 111, 48, 8, 134, 52, 18, 141, 160, 258, 139, 80, 7, 20, 183, 184, van
83, 37, 54, 131, 61, 4, 135, 50, 18, 127, 152, 271, 141, 85, 3, 6, 180, 183, saab
87, 39, 74, 152, 58, 6, 151, 44, 19, 136, 174, 337, 140, 70, 1, 33, 187, 196, saab
90, 50, 90, 188, 61, 10, 181, 36, 21, 158, 211, 492, 220, 69, 6, 19, 191, 199, saab
90, 39, 89, 181, 62, 8, 175, 38, 21, 132, 200, 458, 154, 70, 11, 15, 189, 195, saab
91, 36, 77, 157, 56, 7, 155, 42, 19, 126, 177, 361, 123, 65, 8, 15, 195, 201, saab
104, 53, 101, 199, 65, 11, 213, 31, 24, 168, 216, 667, 221, 72, 12, 12, 187, 198, saab
103, 53, 106, 172, 55, 10, 212, 32, 24, 168, 220, 660, 223, 73, 16, 24, 187, 197, saab
91, 45, 79, 176, 59, 9, 163, 40, 20, 148, 184, 404, 179, 62, 0, 10, 199, 208, saab
85, 40, 66, 136, 58, 6, 142, 48, 19, 137, 164, 295, 164, 77, 2, 22, 182, 186, saab
82, 36, 54, 117, 53, 7, 125, 54, 18, 126, 146, 229, 128, 78, 1, 5, 180, 184, saab
106, 54, 101, 222, 67, 12, 222, 30, 25, 173, 228, 721, 200, 70, 3, 4, 187, 201, saab
91, 40, 83, 166, 60, 8, 160, 41, 20, 133, 189, 383, 155, 72, 5, 7, 186, 191, saab
108, 51, 100, 206, 63, 10, 196, 34, 23, 159, 214, 576, 201, 65, 7, 16, 194, 205, saab
104, 53, 108, 206, 61, 11, 217, 31, 24, 168, 226, 694, 209, 67, 0, 9, 188, 201, saab
109, 54, 103, 220, 66, 11, 214, 31, 24, 167, 229, 677, 212, 70, 1, 23, 188, 201, saab
108, 49, 103, 200, 62, 10, 206, 32, 23, 155, 227, 635, 215, 72, 6, 16, 189, 198, saab
96, 45, 101, 201, 66, 9, 192, 34, 22, 143, 218, 552, 195, 73, 3, 19, 189, 197, saab
86, 38, 86, 175, 60, 9, 170, 39, 21, 134, 191, 433, 138, 68, 1, 28, 191, 199, saab
88, 38, 58, 137, 60, 5, 148, 46, 19, 131, 163, 319, 157, 86, 12, 0, 180, 183, saab
113, 53, 93, 197, 62, 11, 216, 31, 24, 165, 221, 688, 196, 72, 6, 25, 188, 199, saab
106, 52, 108, 207, 64, 12, 221, 31, 25, 168, 229, 709, 200, 73, 22, 38, 190, 205, saab
93, 39, 63, 146, 58, 7, 128, 52, 18, 134, 149, 246, 158, 63, 9, 7, 198, 204, saab
82, 45, 68, 139, 64, 6, 147, 46, 19, 143, 169, 320, 184, 80, 0, 1, 181, 184, bus
99, 41, 77, 197, 69, 6, 177, 36, 21, 139, 202, 485, 151, 72, 4, 10, 198, 199, bus
113, 57, 109, 194, 56, 6, 260, 26, 28, 175, 288, 982, 261, 85, 11, 21, 182, 183, bus
100, 50, 98, 204, 63, 6, 218, 30, 24, 156, 232, 719, 213, 77, 8, 7, 189, 189, bus
83, 42, 66, 156, 67, 7, 150, 45, 19, 144, 174, 333, 159, 78, 4, 2, 182, 188, bus
87, 44, 70, 179, 75, 6, 146, 45, 19, 141, 167, 326, 178, 69, 6, 1, 194, 201, bus
109, 55, 96, 191, 57, 6, 241, 28, 26, 170, 267, 857, 242, 85, 8, 9, 184, 184, bus
81, 44, 68, 120, 53, 6, 151, 45, 19, 147, 170, 333, 178, 86, 4, 5, 179, 183, bus
99, 48, 79, 199, 68, 6, 185, 35, 22, 153, 202, 524, 171, 74, 5, 8, 195, 195, bus
85, 43, 66, 123, 56, 6, 148, 46, 19, 145, 166, 319, 171, 85, 6, 11, 179, 182, bus
96, 47, 77, 204, 72, 6, 167, 38, 20, 150, 188, 429, 182, 69, 6, 16, 199, 203, bus
79, 47, 74, 141, 61, 7, 153, 43, 19, 149, 175, 349, 199, 77, 6, 10, 183, 189, bus
78, 43, 70, 147, 65, 8, 147, 46, 19, 145, 169, 319, 168, 77, 1, 12, 181, 186, bus
107, 55, 103, 167, 49, 7, 252, 27, 28, 172, 269, 904, 239, 83, 5, 30, 179, 186, bus
85, 43, 66, 123, 55, 7, 150, 45, 19, 146, 172, 326, 173, 83, 4, 15, 180, 183, bus
87, 41, 73, 158, 64, 7, 151, 44, 19, 138, 175, 341, 152, 73, 3, 8, 190, 194, bus
84, 43, 76, 180, 75, 7, 155, 43, 19, 143, 180, 359, 173, 77, 5, 12, 185, 190, bus
89, 41, 76, 183, 73, 7, 157, 42, 19, 136, 181, 373, 153, 74, 8, 12, 191, 195, bus
98, 38, 70, 186, 68, 6, 164, 39, 20, 136, 189, 413, 129, 71, 3, 17, 200, 203, bus
80, 45, 71, 128, 56, 7, 151, 45, 19, 147, 171, 337, 176, 79, 3, 16, 181, 187, bus
88, 39, 70, 166, 66, 7, 148, 44, 19, 134, 167, 332, 143, 69, 5, 13, 193, 201, bus
88, 44, 70, 151, 61, 8, 143, 46, 18, 143, 163, 311, 173, 68, 7, 8, 196, 203, bus
92, 42, 69, 153, 58, 8, 140, 48, 18, 138, 165, 290, 151, 64, 10, 21, 199, 206, opel
92, 39, 91, 191, 62, 8, 176, 37, 21, 137, 196, 466, 151, 67, 3, 23, 192, 200, opel
87, 45, 77, 153, 59, 7, 154, 44, 19, 145, 181, 350, 172, 75, 15, 14, 184, 189, opel
108, 55, 105, 230, 68, 11, 218, 30, 24, 171, 228, 709, 210, 69, 14, 4, 190, 197, opel
102, 52, 101, 213, 64, 10, 203, 33, 23, 157, 214, 616, 186, 65, 0, 19, 193, 203, opel
82, 38, 53, 125, 59, 5, 133, 51, 18, 128, 152, 259, 146, 87, 0, 0, 177, 183, opel
97, 55, 103, 197, 63, 11, 215, 31, 24, 172, 219, 677, 219, 75, 5, 24, 185, 194, opel
89, 41, 75, 143, 56, 7, 146, 46, 19, 137, 170, 317, 156, 76, 18, 5, 184, 188, opel
98, 54, 104, 186, 59, 10, 213, 32, 24, 172, 223, 665, 217, 73, 1, 26, 186, 195, opel
105, 56, 98, 209, 64, 11, 217, 31, 24, 173, 225, 696, 216, 72, 2, 19, 188, 199, opel
88, 40, 69, 146, 59, 7, 130, 51, 18, 134, 147, 252, 144, 64, 1, 1, 193, 200, opel
100, 55, 101, 189, 57, 10, 222, 30, 25, 177, 225, 731, 211, 71, 7, 17, 188, 197, opel
91, 38, 76, 172, 61, 8, 167, 40, 20, 134, 196, 415, 145, 71, 0, 28, 189, 198, opel
88, 38, 77, 156, 56, 7, 163, 41, 20, 129, 184, 395, 140, 67, 1, 9, 192, 198, opel
89, 44, 82, 136, 54, 6, 149, 45, 19, 144, 170, 332, 168, 68, 10, 14, 188, 193, opel
107, 53, 103, 221, 66, 11, 209, 32, 24, 163, 222, 653, 212, 66, 0, 1, 191, 201, opel
105, 54, 105, 213, 67, 10, 200, 33, 23, 163, 214, 597, 214, 68, 10, 20, 190, 198, opel
100, 49, 96, 206, 63, 9, 186, 35, 22, 156, 202, 519, 176, 62, 3, 5, 197, 205, opel
107, 56, 105, 202, 61, 11, 221, 30, 25, 179, 234, 725, 212, 72, 15, 1, 189, 196, opel
100, 51, 104, 163, 52, 10, 206, 32, 23, 164, 217, 631, 193, 69, 5, 21, 188, 196, opel
85, 38, 63, 130, 55, 7, 122, 55, 17, 130, 137, 219, 144, 64, 20, 8, 195, 201, opel
