@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
9, 122, 1098, 13.556, 0.339, 0.947, 2.57, 372, 1040, 145, negative
5, 8, 40, 1.6, 0.35, 0.675, 4.67, 14, 27, 3, negative
8, 20, 160, 2.5, 0.525, 0.938, 3.5, 84, 150, 24, negative
10, 96, 960, 9.6, 0.418, 0.886, 2.49, 401, 851, 161, negative
1, 13, 13, 13.0, 0.692, 1.0, 4.5, 9, 13, 2, positive
9, 82, 738, 9.111, 0.329, 0.871, 2.11, 243, 643, 115, negative
9, 97, 873, 10.778, 0.328, 0.921, 1.77, 286, 804, 162, negative
12, 8, 96, 0.667, 0.198, 1.0, 2.11, 19, 96, 9, negative
10, 65, 650, 6.5, 0.445, 0.911, 2.58, 289, 592, 112, negative
10, 101, 1010, 10.1, 0.466, 0.893, 3.02, 471, 902, 156, negative
10, 126, 1260, 12.6, 0.463, 0.848, 3.16, 584, 1068, 185, negative
8, 40, 320, 5.0, 0.391, 0.991, 2.08, 125, 317, 60, negative
14, 339, 4746, 24.214, 0.248, 0.547, 2.44, 1175, 2596, 481, negative
44, 3, 132, 0.068, 0.598, 0.841, 2.47, 79, 111, 32, positive
8, 14, 112, 1.75, 0.223, 0.661, 3.57, 25, 74, 7, negative
11, 96, 1056, 8.727, 0.331, 0.954, 4.32, 350, 1007, 81, negative
304, 463, 140752, 1.523, 0.063, 0.121, 3.91, 8898, 17081, 2273, positive
9, 80, 720, 8.889, 0.338, 0.954, 2.04, 243, 687, 119, negative
1, 51, 51, 51.0, 0.471, 1.0, 2.4, 24, 51, 10, positive
5, 46, 230, 9.2, 0.278, 0.835, 2.21, 64, 192, 29, negative
5, 30, 150, 6.0, 0.16, 0.66, 1.71, 24, 99, 14, negative
10, 98, 980, 9.8, 0.448, 0.881, 2.74, 439, 863, 160, negative
1, 49, 49, 49.0, 0.286, 1.0, 7.0, 14, 49, 2, negative
9, 36, 324, 4.0, 0.42, 0.889, 2.0, 136, 288, 68, negative
10, 80, 800, 8.0, 0.314, 0.799, 2.06, 251, 639, 122, negative
9, 69, 621, 7.667, 0.343, 0.876, 1.75, 213, 544, 122, negative
22, 26, 572, 1.182, 0.283, 0.918, 1.93, 162, 525, 84, negative
10, 53, 530, 5.3, 0.34, 0.9, 1.82, 180, 477, 99, negative
10, 40, 400, 4.0, 0.338, 0.878, 1.9, 135, 351, 71, negative
11, 13, 143, 1.182, 0.42, 0.979, 2.22, 60, 140, 27, negative
9, 75, 675, 8.333, 0.396, 0.914, 2.21, 267, 617, 121, negative
25, 118, 2950, 4.72, 0.268, 0.745, 2.02, 791, 2198, 392, negative
9, 47, 423, 5.222, 0.333, 0.757, 2.39, 141, 320, 59, negative
14, 340, 4760, 24.286, 0.259, 0.592, 2.45, 1232, 2819, 503, negative
9, 123, 1107, 13.667, 0.395, 0.991, 2.84, 437, 1097, 154, negative
7, 16, 112, 2.286, 0.42, 0.768, 2.14, 47, 86, 22, negative
9, 24, 216, 2.667, 0.537, 1.0, 2.9, 116, 216, 40, negative
11, 118, 1298, 10.727, 0.348, 0.797, 2.71, 452, 1035, 167, negative
10, 18, 180, 1.8, 0.511, 0.872, 2.97, 92, 157, 31, negative
9, 45, 405, 5.0, 0.425, 0.938, 2.77, 172, 380, 62, negative
1, 48, 48, 48.0, 0.875, 1.0, 10.5, 42, 48, 4, positive
1, 29, 29, 29.0, 0.586, 1.0, 2.13, 17, 29, 8, positive
8, 59, 472, 7.375, 0.292, 0.888, 1.82, 138, 419, 76, negative
10, 38, 380, 3.8, 0.432, 0.939, 2.78, 164, 357, 59, negative
10, 49, 490, 4.9, 0.59, 0.982, 3.11, 289, 481, 93, negative
10, 21, 210, 2.1, 0.348, 0.757, 3.17, 73, 159, 23, negative
10, 66, 660, 6.6, 0.324, 0.78, 2.25, 214, 515, 95, negative
12, 98, 1176, 8.167, 0.267, 0.627, 2.33, 314, 737, 135, negative
10, 11, 110, 1.1, 0.427, 1.0, 1.52, 47, 110, 31, negative
12, 42, 504, 3.5, 0.355, 0.788, 2.71, 179, 397, 66, negative
9, 76, 684, 8.444, 0.38, 0.95, 2.2, 260, 650, 118, negative
10, 99, 990, 9.9, 0.473, 0.917, 2.93, 468, 908, 160, negative
9, 32, 288, 3.556, 0.382, 0.792, 2.16, 110, 228, 51, negative
10, 85, 850, 8.5, 0.324, 0.675, 2.25, 275, 574, 122, negative
10, 43, 430, 4.3, 0.458, 0.94, 3.58, 197, 404, 55, negative
10, 48, 480, 4.8, 0.331, 0.742, 2.37, 159, 356, 67, negative
1, 40, 40, 40.0, 0.875, 1.0, 11.67, 35, 40, 3, positive
11, 8, 88, 0.727, 0.693, 0.989, 10.17, 61, 87, 6, negative
9, 36, 324, 4.0, 0.506, 0.901, 2.83, 164, 292, 58, negative
9, 6, 54, 0.667, 0.37, 0.907, 2.5, 20, 49, 8, negative
9, 63, 567, 7.0, 0.298, 0.787, 2.01, 169, 446, 84, negative
11, 85, 935, 7.727, 0.268, 0.902, 1.73, 251, 843, 145, negative
10, 12, 120, 1.2, 0.367, 1.0, 1.57, 44, 120, 28, negative
9, 82, 738, 9.111, 0.32, 0.947, 2.13, 236, 699, 111, negative
12, 90, 1080, 7.5, 0.183, 0.716, 1.92, 198, 773, 103, negative
12, 26, 312, 2.167, 0.224, 0.907, 1.63, 70, 283, 43, negative
12, 41, 492, 3.417, 0.289, 0.74, 2.06, 142, 364, 69, negative
8, 26, 208, 3.25, 0.37, 0.947, 1.79, 77, 197, 43, negative
9, 46, 414, 5.111, 0.365, 0.848, 2.01, 151, 351, 75, negative
12, 43, 516, 3.583, 0.328, 0.789, 2.56, 169, 407, 66, negative
8, 6, 48, 0.75, 0.583, 0.813, 7.0, 28, 39, 4, negative
1, 98, 98, 98.0, 0.939, 1.0, 30.67, 92, 98, 3, positive
8, 8, 64, 1.0, 0.25, 0.672, 1.6, 16, 43, 10, negative
8, 21, 168, 2.625, 0.381, 0.845, 1.88, 64, 142, 34, negative
9, 99, 891, 11.0, 0.461, 0.906, 2.65, 411, 807, 155, negative
8, 43, 344, 5.375, 0.372, 0.956, 2.1, 128, 329, 61, negative
9, 122, 1098, 13.556, 0.333, 0.829, 2.54, 366, 910, 144, negative
8, 45, 360, 5.625, 0.222, 0.806, 1.9, 80, 290, 42, negative
7, 40, 280, 5.714, 0.186, 0.754, 2.26, 52, 211, 23, negative
11, 22, 242, 2.0, 0.417, 0.694, 4.04, 101, 168, 25, negative
9, 97, 873, 10.778, 0.455, 0.939, 2.28, 397, 820, 174, negative
9, 49, 441, 5.444, 0.58, 0.995, 2.98, 256, 439, 86, negative
11, 84, 924, 7.636, 0.291, 0.843, 1.74, 269, 779, 155, negative
9, 81, 729, 9.0, 0.337, 0.918, 1.97, 246, 669, 125, negative
9, 13, 117, 1.444, 0.103, 0.752, 4.0, 12, 88, 3, positive
9, 81, 729, 9.0, 0.328, 0.916, 2.04, 239, 668, 117, negative
8, 36, 288, 4.5, 0.615, 0.938, 3.22, 177, 270, 55, negative
10, 99, 990, 9.9, 0.443, 0.912, 2.64, 439, 903, 166, negative
1, 42, 42, 42.0, 0.31, 1.0, 2.6, 13, 42, 5, positive
9, 122, 1098, 13.556, 0.378, 0.961, 2.73, 415, 1055, 152, negative
1, 17, 17, 17.0, 0.882, 1.0, 7.5, 15, 17, 2, positive
2, 14, 28, 7.0, 0.286, 0.821, 8.0, 8, 23, 1, positive
11, 22, 242, 2.0, 0.293, 0.798, 2.37, 71, 193, 30, negative
11, 9, 99, 0.818, 0.545, 0.818, 9.0, 54, 81, 6, negative
2, 50, 100, 25.0, 0.46, 0.51, 15.33, 46, 51, 3, positive
9, 79, 711, 8.778, 0.323, 0.873, 2.19, 230, 621, 105, negative
9, 24, 216, 2.667, 0.356, 0.907, 2.2, 77, 196, 35, negative
8, 32, 256, 4.0, 0.402, 0.898, 1.81, 103, 230, 57, negative
8, 12, 96, 1.5, 0.438, 1.0, 1.5, 42, 96, 28, negative
8, 54, 432, 6.75, 0.35, 0.887, 1.74, 151, 383, 87, negative
11, 101, 1111, 9.182, 0.267, 0.849, 1.72, 297, 943, 173, negative
9, 27, 243, 3.0, 0.346, 0.951, 1.95, 84, 231, 43, negative
9, 32, 288, 3.556, 0.413, 0.993, 1.72, 119, 286, 69, negative
12, 43, 516, 3.583, 0.31, 0.793, 2.32, 160, 409, 69, negative
12, 61, 732, 5.083, 0.251, 0.746, 1.77, 184, 546, 104, negative
8, 7, 56, 0.875, 0.321, 0.429, 6.0, 18, 24, 3, negative
9, 83, 747, 9.222, 0.335, 0.843, 2.05, 250, 630, 122, negative
10, 101, 1010, 10.1, 0.442, 0.855, 2.92, 446, 864, 153, negative
10, 126, 1260, 12.6, 0.456, 0.875, 2.98, 575, 1103, 193, negative
8, 41, 328, 5.125, 0.393, 0.976, 2.19, 129, 320, 59, negative
10, 44, 440, 4.4, 0.441, 0.92, 2.94, 194, 405, 66, negative
9, 42, 378, 4.667, 0.347, 0.915, 2.34, 131, 346, 56, negative
19, 455, 8645, 23.947, 0.081, 0.095, 33.48, 703, 821, 21, negative
14, 301, 4214, 21.5, 0.257, 0.564, 2.37, 1084, 2378, 458, negative
9, 123, 1107, 13.667, 0.359, 0.898, 2.78, 397, 994, 143, negative
1, 14, 14, 14.0, 0.857, 1.0, 12.0, 12, 14, 1, positive
6, 2, 12, 0.333, 0.667, 1.0, 8.0, 8, 12, 1, negative
11, 9, 99, 0.818, 0.465, 0.687, 5.75, 46, 68, 8, negative
10, 8, 80, 0.8, 0.575, 0.888, 9.2, 46, 71, 5, negative
9, 49, 441, 5.444, 0.587, 0.961, 3.12, 259, 424, 83, negative
9, 20, 180, 2.222, 0.3, 0.972, 1.74, 54, 175, 31, negative
11, 74, 814, 6.727, 0.267, 0.628, 2.21, 217, 511, 98, negative
8, 17, 136, 2.125, 0.294, 0.654, 2.22, 40, 89, 18, negative
8, 53, 424, 6.625, 0.33, 0.894, 1.63, 140, 379, 86, negative
9, 12, 108, 1.333, 0.426, 1.0, 1.64, 46, 108, 28, negative
9, 97, 873, 10.778, 0.317, 0.863, 1.76, 277, 753, 157, negative
8, 33, 264, 4.125, 0.39, 0.973, 1.72, 103, 257, 60, negative
8, 18, 144, 2.25, 0.472, 1.0, 2.52, 68, 144, 27, negative
8, 8, 64, 1.0, 0.234, 0.672, 1.5, 15, 43, 10, negative
9, 99, 891, 11.0, 0.484, 0.951, 2.52, 431, 847, 171, negative
10, 100, 1000, 10.0, 0.41, 0.846, 2.81, 410, 846, 146, negative
10, 116, 1160, 11.6, 0.273, 0.797, 1.7, 317, 925, 186, negative
9, 47, 423, 5.222, 0.307, 0.872, 2.03, 130, 369, 64, negative
9, 43, 387, 4.778, 0.455, 0.899, 2.98, 176, 348, 59, negative
11, 89, 979, 8.091, 0.17, 0.706, 2.72, 166, 691, 61, negative
8, 71, 568, 8.875, 0.31, 0.861, 1.85, 176, 489, 95, negative
9, 109, 981, 12.111, 0.243, 0.848, 1.58, 238, 832, 151, negative
8, 64, 512, 8.0, 0.301, 0.857, 1.93, 154, 439, 80, negative
6, 100, 600, 16.667, 0.342, 0.822, 1.71, 205, 493, 120, negative
10, 48, 480, 4.8, 0.313, 0.76, 2.5, 150, 365, 60, negative
9, 37, 333, 4.111, 0.453, 0.964, 2.7, 151, 321, 56, negative
23, 1, 23, 0.043, 1.0, 1.0, 23.0, 23, 23, 1, positive
10, 108, 1080, 10.8, 0.319, 0.746, 2.14, 345, 806, 161, negative
8, 185, 1480, 23.125, 0.235, 0.659, 1.82, 348, 975, 191, negative
7, 29, 203, 4.143, 0.266, 0.813, 2.7, 54, 165, 20, negative
5, 17, 85, 3.4, 0.471, 0.929, 2.35, 40, 79, 17, negative
3, 54, 162, 18.0, 0.364, 0.519, 8.43, 59, 84, 7, positive
15, 54, 810, 3.6, 0.323, 0.689, 2.45, 262, 558, 107, negative
25, 410, 10250, 16.4, 0.272, 0.67, 2.29, 2792, 6872, 1218, negative
13, 151, 1963, 11.615, 0.302, 0.726, 2.59, 593, 1425, 229, negative
12, 66, 792, 5.5, 0.402, 0.78, 3.03, 318, 618, 105, negative
9, 107, 963, 11.889, 0.383, 0.858, 2.22, 369, 826, 166, negative
12, 58, 696, 4.833, 0.343, 0.803, 3.85, 239, 559, 62, negative
9, 76, 684, 8.444, 0.352, 0.813, 2.27, 241, 556, 106, negative
23, 87, 2001, 3.783, 0.286, 0.671, 2.36, 572, 1342, 242, negative
9, 93, 837, 10.333, 0.278, 0.847, 1.66, 233, 709, 140, negative
12, 89, 1068, 7.417, 0.429, 0.879, 3.5, 458, 939, 131, negative
12, 104, 1248, 8.667, 0.335, 0.758, 2.46, 418, 946, 170, negative
11, 33, 363, 3.0, 0.295, 0.694, 1.98, 107, 252, 54, negative
4, 114, 456, 28.5, 0.393, 0.978, 1.83, 179, 446, 98, negative
8, 17, 136, 2.125, 0.529, 0.853, 2.88, 72, 116, 25, negative
9, 40, 360, 4.444, 0.506, 0.964, 3.08, 182, 347, 59, negative
26, 412, 10712, 15.846, 0.32, 0.664, 3.0, 3424, 7118, 1142, negative
13, 152, 1976, 11.692, 0.312, 0.714, 2.8, 617, 1410, 220, negative
13, 121, 1573, 9.308, 0.376, 0.69, 3.72, 591, 1086, 159, negative
13, 409, 5317, 31.462, 0.277, 0.573, 2.65, 1475, 3049, 556, negative
5, 39, 195, 7.8, 0.492, 0.872, 2.46, 96, 170, 39, negative
14, 116, 1624, 8.286, 0.27, 0.649, 2.12, 439, 1054, 207, negative
22, 69, 1518, 3.136, 0.516, 0.848, 10.59, 784, 1287, 74, negative
8, 74, 592, 9.25, 0.456, 0.887, 2.48, 270, 525, 109, negative
13, 30, 390, 2.308, 0.356, 0.649, 3.23, 139, 253, 43, negative
33, 160, 5280, 4.848, 0.219, 0.389, 6.34, 1154, 2054, 182, negative
12, 497, 5964, 41.417, 0.278, 0.751, 2.27, 1657, 4478, 731, negative
12, 25, 300, 2.083, 0.32, 0.643, 2.59, 96, 193, 37, negative
5, 39, 195, 7.8, 0.328, 0.744, 2.06, 64, 145, 31, negative
8, 27, 216, 3.375, 0.218, 0.852, 2.24, 47, 184, 21, negative
22, 71, 1562, 3.227, 0.536, 0.876, 11.64, 838, 1368, 72, negative
8, 93, 744, 11.625, 0.261, 0.937, 1.55, 194, 697, 125, negative
6, 99, 594, 16.5, 0.301, 0.803, 1.46, 179, 477, 123, negative
9, 118, 1062, 13.111, 0.372, 0.818, 2.41, 395, 869, 164, negative
36, 96, 3456, 2.667, 0.096, 0.207, 7.7, 331, 717, 43, positive
7, 183, 1281, 26.143, 0.265, 0.664, 1.88, 340, 850, 181, negative
7, 115, 805, 16.429, 0.273, 0.704, 1.72, 220, 567, 128, negative
5, 27, 135, 5.4, 0.407, 0.815, 2.12, 55, 110, 26, negative
8, 127, 1016, 15.875, 0.314, 0.825, 1.98, 319, 838, 161, negative
9, 42, 378, 4.667, 0.45, 0.905, 2.79, 170, 342, 61, negative
13, 84, 1092, 6.462, 0.35, 0.59, 3.16, 382, 644, 121, negative
12, 116, 1392, 9.667, 0.331, 0.756, 2.62, 461, 1053, 176, negative
43, 62, 2666, 1.442, 0.08, 0.17, 6.63, 212, 454, 32, positive
11, 101, 1111, 9.182, 0.33, 0.734, 2.68, 367, 815, 137, negative
10, 174, 1740, 17.4, 0.278, 0.733, 2.02, 483, 1276, 239, negative
8, 28, 224, 3.5, 0.308, 0.835, 3.14, 69, 187, 22, negative
6, 51, 306, 8.5, 0.454, 0.817, 2.44, 139, 250, 57, negative
16, 44, 704, 2.75, 0.376, 0.744, 2.39, 265, 524, 111, negative
13, 414, 5382, 31.846, 0.357, 0.653, 3.08, 1919, 3514, 623, negative
12, 414, 4968, 34.5, 0.313, 0.734, 2.3, 1554, 3646, 675, negative
17, 60, 1020, 3.529, 0.139, 0.371, 7.1, 142, 378, 20, positive
9, 108, 972, 12.0, 0.389, 0.88, 2.22, 378, 855, 170, negative
4, 65, 260, 16.25, 0.296, 0.631, 2.66, 77, 164, 29, negative
9, 35, 315, 3.889, 0.273, 0.654, 1.65, 86, 206, 52, negative
9, 264, 2376, 29.333, 0.261, 0.612, 1.99, 619, 1455, 311, negative
5, 7, 35, 1.4, 0.229, 0.6, 2.67, 8, 21, 3, positive
9, 68, 612, 7.556, 0.335, 0.789, 2.33, 205, 483, 88, negative
4, 8, 32, 2.0, 0.344, 0.531, 5.5, 11, 17, 2, positive
7, 55, 385, 7.857, 0.374, 0.821, 2.09, 144, 316, 69, negative
10, 272, 2720, 27.2, 0.279, 0.789, 1.98, 758, 2147, 382, negative
14, 19, 266, 1.357, 0.128, 0.541, 2.83, 34, 144, 12, positive
9, 271, 2439, 30.111, 0.284, 0.677, 1.93, 692, 1651, 358, negative
9, 271, 2439, 30.111, 0.292, 0.727, 1.9, 712, 1774, 374, negative
10, 271, 2710, 27.1, 0.267, 0.698, 1.96, 724, 1892, 369, negative
8, 271, 2168, 33.875, 0.314, 0.819, 1.82, 681, 1775, 375, negative
7, 13, 91, 1.857, 0.154, 0.484, 2.0, 14, 44, 7, positive
8, 34, 272, 4.25, 0.309, 0.908, 1.5, 84, 247, 56, negative
10, 15, 150, 1.5, 0.247, 0.72, 1.61, 37, 108, 23, negative
10, 60, 600, 6.0, 0.203, 0.595, 1.44, 122, 357, 85, negative
8, 54, 432, 6.75, 0.245, 0.745, 1.29, 106, 322, 82, negative
10, 179, 1790, 17.9, 0.2, 0.758, 1.41, 358, 1356, 254, negative
6, 5, 30, 0.833, 0.233, 0.633, 1.75, 7, 19, 4, positive
8, 25, 200, 3.125, 0.33, 1.0, 1.65, 66, 200, 40, negative
10, 271, 2710, 27.1, 0.188, 0.665, 1.31, 509, 1803, 388, negative
21, 68, 1428, 3.238, 0.052, 0.109, 5.69, 74, 156, 13, positive
11, 271, 2981, 24.636, 0.198, 0.628, 1.52, 591, 1872, 388, negative
8, 31, 248, 3.875, 0.298, 0.871, 1.45, 74, 216, 51, negative
7, 5, 35, 0.714, 0.2, 0.429, 7.0, 7, 15, 1, negative
10, 272, 2720, 27.2, 0.191, 0.578, 1.49, 520, 1571, 348, negative
10, 271, 2710, 27.1, 0.173, 0.557, 1.47, 469, 1510, 318, negative
8, 108, 864, 13.5, 0.235, 0.618, 1.41, 203, 534, 144, negative
10, 125, 1250, 12.5, 0.19, 0.526, 1.39, 237, 657, 170, negative
6, 24, 144, 4.0, 0.292, 0.764, 1.56, 42, 110, 27, negative
10, 60, 600, 6.0, 0.223, 0.607, 1.47, 134, 364, 91, negative
9, 34, 306, 3.778, 0.225, 0.755, 1.57, 69, 231, 44, negative
7, 7, 49, 1.0, 0.347, 0.939, 1.89, 17, 46, 9, negative
7, 14, 98, 2.0, 0.357, 0.867, 1.75, 35, 85, 20, negative
7, 29, 203, 4.143, 0.281, 0.842, 1.46, 57, 171, 39, negative
8, 25, 200, 3.125, 0.24, 0.91, 1.45, 48, 182, 33, negative
8, 263, 2104, 32.875, 0.154, 0.549, 1.19, 325, 1156, 274, negative
5, 18, 90, 3.6, 0.378, 0.956, 1.62, 34, 86, 21, negative
5, 12, 60, 2.4, 0.383, 0.883, 1.92, 23, 53, 12, negative
8, 21, 168, 2.625, 0.262, 0.696, 1.52, 44, 117, 29, negative
8, 80, 640, 10.0, 0.184, 0.544, 1.4, 118, 348, 84, negative
5, 52, 260, 10.4, 0.208, 0.542, 1.35, 54, 141, 40, negative
5, 38, 190, 7.6, 0.426, 0.989, 1.42, 81, 188, 57, negative
6, 2, 12, 0.333, 0.583, 1.0, 7.0, 7, 12, 1, negative
7, 14, 98, 2.0, 0.255, 0.735, 1.56, 25, 72, 16, negative
6, 50, 300, 8.333, 0.213, 0.577, 1.31, 64, 173, 49, negative
5, 75, 375, 15.0, 0.259, 0.867, 1.18, 97, 325, 82, negative
9, 158, 1422, 17.556, 0.217, 0.535, 1.45, 308, 761, 212, negative
6, 28, 168, 4.667, 0.292, 0.875, 1.29, 49, 147, 38, negative
6, 12, 72, 2.0, 0.319, 0.653, 2.09, 23, 47, 11, negative
10, 12, 120, 1.2, 0.183, 0.392, 2.2, 22, 47, 10, negative
9, 16, 144, 1.778, 0.16, 0.5, 1.92, 23, 72, 12, negative
7, 27, 189, 3.857, 0.164, 0.397, 2.58, 31, 75, 12, negative
6, 7, 42, 1.167, 0.31, 0.786, 1.86, 13, 33, 7, negative
7, 41, 287, 5.857, 0.213, 0.861, 1.33, 61, 247, 46, negative
8, 17, 136, 2.125, 0.265, 0.566, 1.71, 36, 77, 21, negative
6, 13, 78, 2.167, 0.308, 0.872, 1.6, 24, 68, 15, negative
6, 14, 84, 2.333, 0.274, 0.929, 1.28, 23, 78, 18, negative
1, 27, 27, 27.0, 0.407, 1.0, 1.83, 11, 27, 6, positive
8, 16, 128, 2.0, 0.242, 0.602, 1.94, 31, 77, 16, negative
9, 73, 657, 8.111, 0.174, 0.434, 1.44, 114, 285, 79, negative
6, 59, 354, 9.833, 0.268, 0.692, 1.27, 95, 245, 75, negative
7, 33, 231, 4.714, 0.342, 0.74, 1.49, 79, 171, 53, negative
6, 6, 36, 1.0, 0.361, 0.778, 1.63, 13, 28, 8, negative
5, 16, 80, 3.2, 0.425, 1.0, 1.36, 34, 80, 25, negative
9, 8, 72, 0.889, 0.264, 1.0, 1.27, 19, 72, 15, negative
9, 55, 495, 6.111, 0.251, 0.808, 1.43, 124, 400, 87, negative
8, 23, 184, 2.875, 0.277, 0.832, 1.7, 51, 153, 30, negative
7, 14, 98, 2.0, 0.327, 1.0, 1.6, 32, 98, 20, negative
8, 27, 216, 3.375, 0.269, 0.764, 1.29, 58, 165, 45, negative
7, 9, 63, 1.286, 0.365, 0.857, 1.77, 23, 54, 13, negative
7, 8, 56, 1.143, 0.286, 0.732, 1.78, 16, 41, 9, negative
7, 54, 378, 7.714, 0.254, 0.608, 1.39, 96, 230, 69, negative
7, 11, 77, 1.571, 0.312, 0.844, 1.5, 24, 65, 16, negative
8, 41, 328, 5.125, 0.232, 0.527, 1.55, 76, 173, 49, negative
8, 47, 376, 5.875, 0.221, 0.702, 1.26, 83, 264, 66, negative
7, 21, 147, 3.0, 0.34, 0.85, 1.35, 50, 125, 37, negative
7, 8, 56, 1.143, 0.375, 1.0, 1.62, 21, 56, 13, negative
7, 14, 98, 2.0, 0.388, 0.847, 1.65, 38, 83, 23, negative
7, 13, 91, 1.857, 0.297, 0.835, 1.69, 27, 76, 16, negative
