@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.48, 0.365, 0.135, 0.6395, 0.2945, 0.113, 0.175, negative
F, 0.495, 0.41, 0.125, 0.7555, 0.3355, 0.129, 0.214, negative
M, 0.5, 0.4, 0.125, 0.5975, 0.27, 0.1275, 0.166, negative
M, 0.555, 0.435, 0.145, 0.9685, 0.4985, 0.168, 0.2385, negative
F, 0.6, 0.475, 0.155, 1.21, 0.653, 0.1695, 0.3205, negative
F, 0.625, 0.49, 0.2, 1.3825, 0.5895, 0.285, 0.381, negative
F, 0.67, 0.585, 0.16, 1.309, 0.5445, 0.2945, 0.413, negative
F, 0.675, 0.525, 0.17, 1.8095, 0.784, 0.391, 0.455, negative
I, 0.24, 0.175, 0.065, 0.0665, 0.031, 0.0135, 0.017, negative
I, 0.255, 0.18, 0.055, 0.083, 0.031, 0.0215, 0.02, negative
I, 0.28, 0.12, 0.075, 0.117, 0.0455, 0.029, 0.0345, negative
I, 0.305, 0.22, 0.07, 0.141, 0.062, 0.031, 0.037, negative
I, 0.335, 0.25, 0.075, 0.1825, 0.0705, 0.044, 0.055, negative
I, 0.37, 0.28, 0.095, 0.2865, 0.1505, 0.069, 0.0795, negative
I, 0.435, 0.325, 0.12, 0.3995, 0.1815, 0.061, 0.1125, negative
I, 0.435, 0.34, 0.115, 0.3925, 0.1825, 0.078, 0.1145, negative
I, 0.44, 0.345, 0.13, 0.4495, 0.209, 0.0835, 0.134, negative
I, 0.45, 0.335, 0.105, 0.447, 0.2335, 0.153, 0.119, negative
I, 0.455, 0.375, 0.12, 0.497, 0.2355, 0.1055, 0.1295, negative
I, 0.46, 0.345, 0.105, 0.449, 0.196, 0.0945, 0.1265, negative
F, 0.475, 0.36, 0.12, 0.5915, 0.3245, 0.11, 0.127, negative
F, 0.485, 0.37, 0.115, 0.4785, 0.1995, 0.0955, 0.129, negative
M, 0.5, 0.4, 0.125, 0.6725, 0.336, 0.12, 0.1825, negative
F, 0.505, 0.39, 0.13, 0.674, 0.3165, 0.141, 0.1785, negative
I, 0.505, 0.39, 0.15, 0.685, 0.362, 0.131, 0.156, negative
I, 0.51, 0.405, 0.135, 0.769, 0.3655, 0.1585, 0.18, negative
M, 0.53, 0.405, 0.125, 0.6515, 0.2715, 0.1605, 0.186, negative
M, 0.58, 0.455, 0.15, 1.012, 0.4985, 0.2115, 0.2835, negative
M, 0.59, 0.47, 0.16, 1.206, 0.479, 0.2425, 0.309, negative
F, 0.59, 0.455, 0.145, 1.063, 0.5155, 0.2445, 0.25, negative
M, 0.595, 0.475, 0.165, 1.213, 0.621, 0.2435, 0.274, negative
F, 0.605, 0.49, 0.15, 1.1345, 0.5265, 0.2645, 0.295, negative
M, 0.625, 0.49, 0.175, 1.3325, 0.5705, 0.271, 0.405, negative
F, 0.625, 0.475, 0.175, 1.1435, 0.4755, 0.2475, 0.349, negative
F, 0.625, 0.485, 0.2, 1.38, 0.5845, 0.302, 0.401, negative
M, 0.635, 0.49, 0.175, 1.375, 0.623, 0.2705, 0.395, negative
M, 0.645, 0.5, 0.175, 1.3385, 0.633, 0.299, 0.349, negative
F, 0.645, 0.5, 0.16, 1.2465, 0.5475, 0.327, 0.3, negative
F, 0.66, 0.505, 0.185, 1.528, 0.69, 0.3025, 0.441, negative
F, 0.66, 0.475, 0.18, 1.3695, 0.641, 0.294, 0.335, negative
M, 0.67, 0.525, 0.165, 1.6085, 0.682, 0.3145, 0.4005, negative
F, 0.675, 0.565, 0.195, 1.8375, 0.7645, 0.3615, 0.553, negative
M, 0.69, 0.505, 0.2, 1.872, 0.893, 0.4015, 0.48, negative
F, 0.705, 0.535, 0.18, 1.685, 0.693, 0.42, 0.4045, negative
I, 0.385, 0.29, 0.08, 0.2485, 0.122, 0.0495, 0.065, negative
I, 0.41, 0.3, 0.1, 0.282, 0.1255, 0.057, 0.0875, negative
I, 0.42, 0.3, 0.105, 0.316, 0.1255, 0.07, 0.1035, negative
I, 0.475, 0.35, 0.11, 0.4565, 0.206, 0.099, 0.13, negative
I, 0.475, 0.35, 0.1, 0.4545, 0.2165, 0.111, 0.115, negative
F, 0.505, 0.39, 0.125, 0.5445, 0.246, 0.15, 0.1405, negative
I, 0.51, 0.405, 0.125, 0.6795, 0.3465, 0.1395, 0.182, negative
M, 0.545, 0.39, 0.135, 0.7835, 0.4225, 0.1815, 0.156, negative
I, 0.57, 0.44, 0.15, 0.755, 0.3425, 0.16, 0.224, negative
M, 0.575, 0.435, 0.14, 0.8455, 0.401, 0.191, 0.222, negative
M, 0.605, 0.48, 0.17, 1.1835, 0.582, 0.2365, 0.317, negative
F, 0.605, 0.475, 0.165, 1.056, 0.433, 0.2195, 0.357, negative
M, 0.625, 0.48, 0.185, 1.2065, 0.587, 0.29, 0.286, negative
M, 0.63, 0.5, 0.175, 1.2645, 0.5635, 0.3065, 0.3425, negative
M, 0.64, 0.515, 0.165, 1.369, 0.632, 0.3415, 0.358, negative
F, 0.65, 0.5, 0.19, 1.464, 0.6415, 0.339, 0.4245, negative
F, 0.69, 0.54, 0.155, 1.454, 0.624, 0.3105, 0.39, negative
F, 0.69, 0.53, 0.17, 1.5535, 0.7945, 0.3485, 0.3695, negative
M, 0.695, 0.56, 0.185, 1.74, 0.885, 0.3715, 0.4375, negative
F, 0.7, 0.525, 0.19, 1.6465, 0.8545, 0.307, 0.3995, negative
F, 0.72, 0.55, 0.2, 1.9965, 0.9035, 0.469, 0.5215, negative
M, 0.72, 0.565, 0.145, 1.187, 0.691, 0.1945, 0.2685, negative
F, 0.75, 0.57, 0.21, 2.236, 1.109, 0.5195, 0.545, negative
F, 0.755, 0.625, 0.21, 2.505, 1.1965, 0.513, 0.6785, negative
I, 0.275, 0.195, 0.09, 0.1125, 0.0545, 0.0295, 0.0355, negative
I, 0.315, 0.23, 0.07, 0.1145, 0.046, 0.0235, 0.0385, negative
I, 0.38, 0.275, 0.11, 0.256, 0.11, 0.0535, 0.0755, negative
I, 0.405, 0.285, 0.09, 0.2645, 0.1265, 0.0505, 0.075, negative
I, 0.41, 0.335, 0.11, 0.33, 0.157, 0.0705, 0.17, negative
I, 0.425, 0.31, 0.09, 0.301, 0.1385, 0.065, 0.08, negative
I, 0.43, 0.34, 0.0, 0.428, 0.2065, 0.086, 0.115, negative
I, 0.46, 0.36, 0.105, 0.466, 0.2225, 0.099, 0.11, negative
I, 0.465, 0.34, 0.11, 0.346, 0.1425, 0.073, 0.113, negative
I, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, negative
I, 0.48, 0.37, 0.125, 0.5435, 0.244, 0.101, 0.165, negative
I, 0.48, 0.365, 0.1, 0.461, 0.2205, 0.0835, 0.135, negative
I, 0.5, 0.375, 0.125, 0.5695, 0.259, 0.124, 0.157, negative
I, 0.515, 0.4, 0.135, 0.6965, 0.32, 0.1255, 0.175, negative
I, 0.53, 0.425, 0.13, 0.7675, 0.419, 0.1205, 0.21, negative
I, 0.535, 0.415, 0.15, 0.5765, 0.3595, 0.135, 0.225, negative
F, 0.54, 0.42, 0.145, 0.8655, 0.4315, 0.163, 0.2175, negative
M, 0.555, 0.44, 0.14, 0.8705, 0.407, 0.156, 0.255, negative
I, 0.56, 0.425, 0.145, 0.688, 0.3095, 0.1305, 0.2165, negative
I, 0.56, 0.455, 0.145, 0.974, 0.547, 0.1615, 0.235, negative
I, 0.565, 0.44, 0.175, 0.8735, 0.414, 0.21, 0.21, negative
I, 0.57, 0.45, 0.145, 0.751, 0.2825, 0.2195, 0.2215, negative
M, 0.57, 0.435, 0.17, 0.873, 0.382, 0.183, 0.2705, negative
F, 0.58, 0.445, 0.15, 0.858, 0.4, 0.156, 0.253, negative
I, 0.605, 0.485, 0.15, 1.238, 0.6315, 0.226, 0.33, negative
M, 0.605, 0.49, 0.14, 0.9755, 0.419, 0.206, 0.315, negative
M, 0.615, 0.5, 0.17, 1.054, 0.4845, 0.228, 0.295, negative
M, 0.62, 0.51, 0.175, 1.2815, 0.5715, 0.2385, 0.39, negative
F, 0.625, 0.505, 0.175, 1.15, 0.5475, 0.256, 0.3045, negative
M, 0.63, 0.485, 0.145, 1.062, 0.5065, 0.1785, 0.3365, negative
M, 0.645, 0.525, 0.16, 1.5075, 0.7455, 0.245, 0.4325, negative
M, 0.65, 0.51, 0.19, 1.542, 0.7155, 0.3735, 0.375, negative
M, 0.655, 0.49, 0.175, 1.3585, 0.6395, 0.294, 0.365, negative
F, 0.67, 0.505, 0.175, 1.0145, 0.4375, 0.271, 0.3745, negative
M, 0.685, 0.545, 0.205, 1.7925, 0.8145, 0.416, 0.461, negative
F, 0.725, 0.6, 0.2, 1.737, 0.697, 0.3585, 0.595, negative
F, 0.745, 0.57, 0.215, 2.25, 1.1565, 0.446, 0.558, negative
F, 0.75, 0.61, 0.235, 2.5085, 1.232, 0.519, 0.612, negative
I, 0.385, 0.3, 0.09, 0.247, 0.1225, 0.044, 0.0675, negative
I, 0.405, 0.29, 0.09, 0.2825, 0.112, 0.075, 0.0815, negative
I, 0.41, 0.32, 0.095, 0.2905, 0.141, 0.063, 0.073, negative
M, 0.415, 0.315, 0.115, 0.3895, 0.2015, 0.065, 0.103, negative
I, 0.47, 0.355, 0.12, 0.3685, 0.126, 0.0835, 0.1365, negative
M, 0.475, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, negative
M, 0.505, 0.385, 0.105, 0.5525, 0.239, 0.1245, 0.1555, negative
M, 0.55, 0.425, 0.16, 0.793, 0.343, 0.2035, 0.215, negative
M, 0.57, 0.445, 0.15, 0.9875, 0.504, 0.207, 0.249, negative
M, 0.575, 0.46, 0.165, 0.9155, 0.4005, 0.2465, 0.2385, negative
F, 0.605, 0.485, 0.16, 1.201, 0.417, 0.2875, 0.38, negative
F, 0.62, 0.435, 0.155, 1.012, 0.477, 0.236, 0.275, negative
M, 0.63, 0.48, 0.15, 1.271, 0.6605, 0.2425, 0.31, negative
M, 0.655, 0.51, 0.215, 1.7835, 0.8885, 0.4095, 0.4195, negative
F, 0.665, 0.515, 0.18, 1.389, 0.5945, 0.324, 0.395, negative
F, 0.7, 0.55, 0.17, 1.684, 0.7535, 0.3265, 0.32, negative
M, 0.7, 0.555, 0.2, 1.858, 0.73, 0.3665, 0.595, negative
M, 0.705, 0.56, 0.165, 1.675, 0.797, 0.4095, 0.388, negative
I, 0.3, 0.23, 0.085, 0.117, 0.05, 0.0175, 0.0415, negative
I, 0.355, 0.26, 0.09, 0.1985, 0.0715, 0.0495, 0.058, negative
I, 0.36, 0.27, 0.095, 0.2, 0.073, 0.056, 0.061, negative
I, 0.36, 0.275, 0.075, 0.2205, 0.0985, 0.044, 0.066, negative
I, 0.385, 0.29, 0.09, 0.2365, 0.1, 0.0505, 0.076, negative
I, 0.41, 0.3, 0.09, 0.28, 0.141, 0.0575, 0.075, negative
I, 0.45, 0.34, 0.095, 0.3245, 0.1385, 0.064, 0.105, negative
I, 0.48, 0.37, 0.125, 0.474, 0.179, 0.1035, 0.175, negative
I, 0.485, 0.375, 0.13, 0.6025, 0.2935, 0.1285, 0.16, negative
I, 0.49, 0.4, 0.135, 0.624, 0.3035, 0.1285, 0.169, negative
I, 0.5, 0.4, 0.12, 0.616, 0.261, 0.143, 0.1935, negative
I, 0.51, 0.395, 0.13, 0.6025, 0.281, 0.143, 0.162, negative
I, 0.515, 0.395, 0.125, 0.6635, 0.32, 0.14, 0.17, negative
I, 0.525, 0.4, 0.14, 0.654, 0.305, 0.16, 0.169, negative
M, 0.525, 0.4, 0.155, 0.707, 0.282, 0.1605, 0.225, negative
I, 0.53, 0.42, 0.13, 0.8365, 0.3745, 0.167, 0.249, negative
I, 0.54, 0.43, 0.17, 0.836, 0.3725, 0.1815, 0.24, negative
I, 0.54, 0.43, 0.14, 0.8195, 0.3935, 0.1725, 0.2295, negative
I, 0.545, 0.375, 0.12, 0.543, 0.2375, 0.1155, 0.1725, negative
I, 0.565, 0.42, 0.155, 0.743, 0.31, 0.186, 0.231, negative
M, 0.565, 0.43, 0.15, 0.831, 0.4245, 0.1735, 0.219, negative
I, 0.575, 0.45, 0.135, 0.807, 0.3615, 0.176, 0.254, negative
M, 0.575, 0.445, 0.16, 0.839, 0.4005, 0.198, 0.239, negative
M, 0.575, 0.44, 0.16, 0.9615, 0.483, 0.166, 0.275, negative
I, 0.58, 0.445, 0.125, 0.7095, 0.303, 0.1405, 0.235, negative
M, 0.595, 0.45, 0.14, 0.838, 0.3965, 0.194, 0.217, negative
M, 0.6, 0.47, 0.16, 1.194, 0.5625, 0.3045, 0.2635, negative
F, 0.605, 0.455, 0.145, 0.9775, 0.468, 0.1775, 0.275, negative
I, 0.605, 0.47, 0.145, 0.8025, 0.379, 0.2265, 0.22, negative
F, 0.605, 0.505, 0.18, 1.434, 0.7285, 0.264, 0.431, negative
F, 0.61, 0.485, 0.15, 1.2405, 0.6025, 0.2915, 0.3085, negative
M, 0.61, 0.47, 0.16, 1.022, 0.449, 0.2345, 0.2945, negative
