@relation  Monk_2
@attribute a1 integer[1,3]
@attribute a2 integer[1,3]
@attribute a3 integer[1,2]
@attribute a4 integer[1,3]
@attribute a5 integer[1,4]
@attribute a6 integer[1,2]
@attribute class{0,1}
@inputs a1,a2,a3,a4,a5,a6
@outputs class
@data
3, 1, 1, 3, 3, 1, 0
2, 2, 2, 2, 4, 1, 0
3, 2, 2, 3, 2, 2, 0
1, 3, 2, 3, 1, 1, 0
2, 2, 1, 1, 2, 1, 0
3, 2, 2, 2, 1, 2, 0
1, 2, 1, 2, 1, 1, 0
1, 2, 1, 3, 4, 1, 0
2, 3, 2, 2, 4, 2, 0
1, 3, 1, 1, 1, 1, 0
3, 3, 2, 3, 3, 1, 0
2, 2, 1, 2, 1, 1, 0
1, 1, 2, 1, 4, 1, 0
1, 3, 1, 1, 4, 1, 0
2, 1, 2, 3, 4, 2, 0
1, 3, 2, 1, 3, 1, 0
3, 1, 1, 2, 4, 1, 0
2, 2, 2, 2, 1, 2, 0
1, 2, 1, 1, 1, 2, 0
2, 1, 2, 3, 3, 1, 1
1, 2, 1, 2, 2, 2, 1
2, 2, 2, 1, 3, 1, 1
3, 2, 2, 3, 1, 1, 1
1, 3, 1, 3, 2, 2, 1
1, 3, 1, 2, 3, 2, 1
3, 1, 2, 1, 2, 2, 1
2, 1, 2, 2, 3, 1, 1
1, 1, 2, 2, 2, 2, 1
3, 2, 1, 3, 3, 1, 1
3, 2, 1, 2, 4, 1, 1
1, 2, 1, 3, 2, 2, 1
3, 3, 2, 1, 1, 2, 1
1, 2, 2, 3, 4, 1, 1
1, 2, 2, 3, 2, 2, 0
2, 3, 2, 2, 3, 1, 0
2, 2, 1, 1, 1, 2, 0
2, 1, 1, 1, 3, 2, 0
1, 2, 1, 2, 2, 1, 0
3, 2, 1, 1, 2, 1, 0
3, 2, 2, 1, 3, 2, 0
3, 1, 2, 2, 2, 2, 0
1, 1, 2, 1, 3, 1, 0
3, 3, 1, 1, 1, 1, 0
3, 2, 1, 3, 2, 2, 0
1, 2, 1, 2, 3, 1, 0
3, 3, 2, 2, 2, 2, 0
1, 2, 2, 2, 2, 2, 0
2, 2, 1, 1, 4, 1, 0
2, 2, 2, 3, 2, 1, 0
1, 3, 1, 3, 1, 1, 0
2, 1, 1, 3, 4, 1, 0
3, 3, 2, 3, 4, 2, 0
1, 3, 2, 1, 1, 2, 0
2, 3, 2, 3, 4, 1, 0
2, 3, 1, 3, 1, 1, 0
1, 1, 2, 3, 2, 1, 0
1, 3, 2, 1, 4, 1, 0
3, 2, 2, 3, 4, 2, 0
1, 2, 1, 1, 2, 1, 0
1, 3, 2, 3, 4, 2, 0
1, 1, 2, 1, 1, 1, 0
1, 3, 1, 2, 1, 2, 0
1, 1, 2, 3, 2, 2, 1
1, 2, 2, 2, 2, 1, 1
1, 2, 2, 1, 4, 2, 1
3, 1, 2, 3, 1, 2, 1
1, 3, 2, 3, 2, 1, 1
1, 3, 2, 2, 3, 1, 1
3, 2, 2, 1, 1, 2, 1
2, 2, 1, 1, 3, 2, 1
1, 1, 2, 2, 4, 2, 1
3, 1, 1, 2, 3, 2, 1
2, 3, 1, 1, 2, 2, 1
1, 3, 1, 2, 2, 2, 1
1, 2, 2, 1, 2, 2, 1
1, 2, 1, 2, 4, 2, 1
1, 2, 2, 3, 4, 2, 0
2, 3, 1, 2, 2, 2, 0
3, 1, 1, 1, 1, 2, 0
1, 1, 1, 1, 4, 1, 0
2, 1, 1, 2, 2, 1, 0
3, 1, 1, 1, 1, 1, 0
3, 1, 2, 1, 4, 1, 0
3, 1, 2, 2, 4, 2, 0
1, 2, 1, 1, 3, 1, 0
2, 2, 2, 1, 1, 1, 0
3, 2, 2, 3, 2, 1, 0
2, 1, 1, 2, 3, 1, 0
3, 3, 2, 3, 1, 2, 0
2, 2, 2, 3, 2, 2, 0
3, 1, 1, 1, 4, 1, 0
2, 3, 2, 2, 2, 1, 0
2, 2, 1, 3, 1, 1, 0
1, 1, 1, 3, 3, 1, 0
3, 3, 2, 2, 3, 2, 0
2, 3, 1, 2, 1, 1, 0
2, 1, 2, 3, 3, 2, 0
3, 1, 1, 2, 1, 1, 0
2, 1, 1, 3, 3, 1, 0
1, 3, 1, 2, 4, 1, 0
2, 3, 2, 2, 4, 1, 0
1, 3, 1, 1, 3, 1, 0
2, 2, 2, 1, 2, 2, 0
1, 2, 2, 2, 1, 1, 0
1, 2, 1, 1, 1, 1, 0
2, 2, 1, 3, 2, 1, 1
2, 1, 1, 2, 2, 2, 1
2, 1, 2, 1, 4, 2, 1
3, 2, 1, 3, 2, 1, 1
1, 2, 2, 2, 1, 2, 1
2, 3, 1, 1, 3, 2, 1
2, 3, 2, 1, 2, 1, 1
1, 1, 2, 2, 3, 2, 1
1, 2, 1, 2, 3, 2, 1
2, 1, 2, 3, 4, 1, 1
2, 3, 1, 1, 4, 2, 1
1, 3, 2, 2, 2, 1, 1
3, 1, 2, 2, 1, 2, 1
1, 3, 1, 3, 4, 2, 1
1, 1, 1, 3, 3, 2, 0
2, 3, 1, 2, 4, 2, 0
2, 1, 2, 1, 1, 1, 0
1, 1, 2, 1, 4, 2, 0
1, 1, 1, 2, 1, 1, 0
3, 1, 1, 1, 3, 1, 0
3, 2, 1, 2, 4, 2, 0
3, 1, 2, 1, 3, 1, 0
2, 1, 1, 1, 3, 1, 0
3, 1, 2, 1, 1, 1, 0
3, 1, 1, 3, 1, 2, 0
2, 2, 1, 1, 3, 1, 0
3, 3, 2, 3, 3, 2, 0
2, 3, 2, 2, 2, 2, 0
3, 3, 1, 1, 2, 1, 0
2, 2, 1, 2, 2, 2, 0
1, 1, 1, 3, 1, 2, 0
1, 1, 1, 2, 4, 2, 0
2, 2, 1, 2, 4, 2, 0
2, 3, 2, 2, 1, 2, 0
2, 3, 2, 1, 3, 2, 0
3, 3, 1, 2, 1, 1, 0
1, 1, 2, 2, 1, 1, 0
1, 3, 2, 2, 4, 2, 0
3, 3, 2, 3, 4, 1, 0
1, 2, 1, 1, 2, 2, 0
3, 1, 1, 3, 4, 1, 0
1, 1, 1, 2, 1, 2, 0
1, 2, 2, 1, 1, 2, 0
2, 1, 2, 3, 1, 2, 1
2, 2, 1, 1, 2, 2, 1
2, 2, 1, 2, 4, 1, 1
2, 3, 1, 3, 1, 2, 1
2, 3, 1, 2, 1, 2, 1
2, 3, 2, 1, 3, 1, 1
3, 3, 1, 1, 2, 2, 1
1, 2, 2, 1, 3, 2, 1
1, 2, 2, 2, 3, 1, 1
3, 1, 2, 2, 4, 1, 1
3, 1, 1, 2, 2, 2, 1
2, 3, 1, 3, 4, 1, 1
1, 3, 2, 1, 2, 2, 1
3, 3, 1, 2, 4, 1, 1
1, 1, 2, 3, 3, 1, 0
1, 3, 1, 2, 3, 1, 0
2, 1, 1, 1, 2, 2, 0
2, 1, 1, 2, 4, 1, 0
1, 1, 1, 2, 3, 1, 0
2, 1, 2, 1, 2, 1, 0
3, 2, 2, 2, 4, 1, 0
3, 2, 1, 2, 3, 2, 0
1, 1, 2, 1, 2, 2, 0
3, 3, 1, 1, 1, 2, 0
3, 1, 2, 3, 1, 1, 0
2, 2, 2, 1, 3, 2, 0
2, 3, 1, 3, 2, 2, 0
1, 2, 1, 3, 2, 1, 0
3, 3, 1, 1, 4, 1, 0
3, 3, 1, 2, 2, 2, 0
1, 1, 2, 3, 1, 1, 0
1, 1, 2, 2, 4, 1, 0
2, 3, 1, 3, 4, 2, 0
2, 3, 1, 1, 2, 1, 0
3, 2, 2, 3, 3, 2, 0
2, 2, 2, 3, 1, 2, 0
1, 2, 2, 2, 4, 2, 0
2, 3, 1, 1, 4, 1, 0
3, 2, 2, 3, 3, 1, 0
1, 2, 2, 1, 1, 1, 0
3, 1, 2, 3, 4, 2, 0
3, 1, 1, 2, 1, 2, 0
1, 3, 1, 1, 1, 2, 0
1, 2, 2, 3, 2, 1, 1
2, 2, 2, 1, 2, 1, 1
1, 2, 2, 2, 4, 1, 1
3, 3, 1, 2, 1, 2, 1
2, 3, 2, 2, 1, 1, 1
2, 2, 1, 3, 3, 1, 1
3, 2, 2, 2, 1, 1, 1
3, 1, 2, 1, 4, 2, 1
1, 3, 1, 3, 3, 2, 1
3, 1, 1, 3, 2, 2, 1
3, 1, 1, 2, 4, 2, 1
2, 2, 1, 3, 4, 1, 1
3, 3, 2, 2, 1, 1, 1
1, 2, 1, 3, 4, 2, 1
2, 2, 1, 3, 3, 2, 0
1, 3, 2, 2, 3, 2, 0
1, 1, 1, 1, 1, 1, 0
2, 1, 2, 2, 4, 2, 0
1, 1, 1, 1, 2, 2, 0
3, 1, 1, 1, 3, 2, 0
2, 2, 2, 2, 4, 2, 0
3, 2, 2, 2, 3, 1, 0
1, 3, 1, 1, 3, 2, 0
3, 3, 2, 1, 1, 1, 0
2, 1, 2, 3, 2, 2, 0
2, 2, 2, 2, 2, 2, 0
2, 3, 2, 3, 2, 1, 0
1, 3, 1, 2, 2, 1, 0
3, 2, 2, 1, 2, 2, 0
3, 1, 2, 2, 1, 1, 0
1, 2, 1, 2, 1, 2, 0
1, 2, 1, 2, 4, 1, 0
3, 2, 1, 3, 4, 2, 0
2, 3, 2, 1, 2, 2, 0
1, 3, 1, 3, 3, 1, 0
2, 1, 1, 3, 1, 2, 0
2, 1, 2, 2, 2, 2, 0
2, 3, 2, 1, 4, 2, 0
1, 3, 1, 3, 4, 1, 0
1, 3, 2, 2, 1, 1, 0
1, 3, 1, 2, 1, 1, 0
1, 1, 2, 1, 1, 2, 0
3, 1, 2, 1, 1, 2, 0
3, 1, 2, 2, 2, 1, 1
2, 2, 1, 2, 1, 2, 1
2, 1, 2, 2, 4, 1, 1
2, 2, 2, 3, 1, 1, 1
3, 3, 2, 3, 1, 1, 1
3, 2, 1, 2, 3, 1, 1
3, 3, 2, 1, 3, 1, 1
2, 1, 1, 3, 3, 2, 1
1, 3, 2, 3, 3, 1, 1
3, 1, 1, 3, 4, 2, 1
3, 3, 2, 1, 4, 1, 1
3, 3, 1, 3, 4, 1, 1
1, 3, 2, 1, 3, 2, 1
2, 1, 1, 2, 4, 2, 1
