@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
96, 46, 74, 202, 74, 5, 163, 39, 20, 149, 185, 408, 191, 70, 7, 8, 196, 200, bus
105, 54, 108, 234, 70, 12, 215, 31, 24, 168, 226, 687, 228, 68, 4, 22, 189, 201, saab
86, 37, 77, 144, 54, 7, 154, 43, 19, 127, 179, 352, 145, 71, 14, 13, 186, 191, opel
109, 52, 104, 199, 60, 12, 215, 31, 24, 162, 220, 691, 212, 67, 11, 7, 189, 199, saab
97, 38, 75, 188, 68, 6, 171, 37, 20, 129, 199, 450, 137, 74, 2, 6, 197, 199, bus
111, 50, 103, 199, 60, 11, 211, 31, 24, 156, 223, 663, 188, 68, 9, 9, 190, 200, saab
88, 42, 64, 151, 62, 8, 130, 51, 18, 142, 150, 253, 161, 63, 3, 2, 203, 210, van
87, 44, 98, 211, 70, 10, 189, 35, 22, 141, 214, 535, 178, 71, 2, 21, 187, 194, opel
115, 52, 100, 203, 62, 10, 217, 31, 24, 165, 229, 697, 214, 72, 14, 4, 188, 197, saab
85, 43, 66, 120, 54, 5, 148, 46, 19, 145, 168, 320, 174, 87, 8, 2, 179, 181, bus
88, 41, 80, 147, 62, 8, 146, 45, 19, 144, 169, 318, 161, 71, 4, 16, 188, 197, van
84, 38, 60, 128, 56, 5, 132, 50, 18, 130, 148, 261, 141, 75, 8, 4, 185, 188, opel
93, 47, 84, 205, 71, 7, 176, 36, 21, 152, 190, 476, 201, 70, 7, 19, 198, 201, bus
104, 52, 101, 206, 62, 10, 198, 33, 23, 161, 207, 587, 204, 64, 2, 5, 195, 204, opel
108, 49, 109, 204, 61, 11, 212, 31, 24, 159, 229, 665, 215, 71, 16, 11, 190, 199, saab
89, 46, 84, 163, 66, 11, 159, 43, 20, 159, 173, 368, 176, 72, 1, 20, 186, 197, van
